Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5682925	0.23298223	-0.2741526	-0.79697496	1000.0	0.0	0.0	0.0	0.0	-0.05382904	0.033904612	0.030493895	-0.12333755	5000	2.117157e-08	0.005899119	-0.013635532	-0.0051835487	0.9189386	0.006942891	0.1028	99.0	12.699730634689331
1	-0.6876351	0.36321706	-0.13116114	-1.0064272	1000.0	17.6	35.2	88.0	0.0	0.008834502	0.021605276	0.08158591	-0.040915154	10000	-8.893013e-09	0.02350117	-0.022299703	-0.01893603	0.9058703	0.015511128	0.1996	99.0	24.874436616897583
2	0.33441943	1.1047407	2.4741132	-0.6951857	1000.0	80.8	45.621925	138.0	0.0	-0.14584766	0.17431203	0.23417667	-0.7343254	15000	5.9366227e-09	0.4375468	-0.02245814	-0.37319124	0.9086004	0.010272204	0.1622	99.0	37.213704109191895
3	0.68197644	0.6665228	1.9565711	0.08626575	1000.0	44.6	54.887524	120.0	0.0	-0.49547642	0.8423622	1.3796672	-2.74061	20000	-5.9604646e-09	9.657564	-0.020642266	-8.761447	0.9046635	0.012666683	0.2066	99.0	50.30489754676819
4	0.6745551	0.63376033	1.5031646	0.017329121	1000.0	50.2	100.4	251.0	0.0	-1.1514635	2.8569689	0.70686966	-14.341609	25000	-1.0490417e-08	36.377205	-0.020144293	-33.410183	0.90873945	0.019127961	0.185	99.0	63.3583288192749
5	-0.6421708	2.116593	0.8352161	-4.845359	1000.0	17.6	35.199997	88.0	0.0	-0.15184127	0.8473862	1.1989504	-5.1523867	30000	3.0517577e-09	9.594191	-0.022167835	-7.690089	0.9157652	0.008859736	0.1586	99.0	76.42594766616821
6	-1.5256298	3.0374773	3.2171962	-5.00137	1000.0	11.8	23.6	59.0	0.0	-1.3172654	1.7493877	0.42018908	-14.570925	35000	5.6266787e-09	7.494345	-0.026699945	-7.167603	0.9272684	0.018957032	0.2136	99.0	89.4996862411499
7	-0.7258385	1.7379322	1.0207504	-3.5604777	1000.0	46.2	92.4	231.0	0.0	-0.6991985	1.6741198	0.30524784	-11.1750765	40000	1.2612343e-08	53.78095	-0.020589804	-7.50354	0.89339453	0.006238649	0.1298	99.0	102.59978461265564
8	0.4737298	0.69734293	1.6538187	-0.24701254	1000.0	0.0	0.0	0.0	0.0	-2.1364946	0.00095790473	-2.1349306	-2.147297	45000	5.5122374e-08	3.99294	-0.023239773	-3.7954607	0.9192539	0.017068295	0.1952	99.0	115.77638721466064
9	-1.1467391	1.830491	0.637821	-3.770878	1000.0	8.6	17.2	43.0	0.0	-0.18332902	0.0012756247	-0.18188009	-0.20035681	50000	-4.386902e-09	3.6491485	-0.016995583	-0.09519529	0.92781776	0.008161332	0.1492	99.0	128.85140109062195
10	0.182828	1.6925957	2.4324558	-1.9200845	1000.0	1.4	2.8	7.0	0.0	-0.48859882	0.0007786325	-0.48699135	-0.50014096	55000	2.2935867e-08	0.2425006	-0.017544368	-0.16501045	0.9433207	0.012123565	0.1508	99.0	141.96779036521912
11	-0.29424965	1.0753269	0.623201	-2.400681	1000.0	102.0	204.0	510.0	0.0	-0.08004327	0.00052442064	-0.078742966	-0.08164875	60000	1.528263e-08	143.0222	-0.025108296	-21.047516	0.95655155	0.013423341	0.1264	99.0	156.22715020179749
12	-0.6868388	0.62975895	0.21517183	-1.5548607	1000.0	0.0	0.0	0.0	0.0	-4.6842766	0.00060337957	-4.6829433	-4.692699	65000	3.692627e-07	18.442564	-0.015267629	-17.594269	0.9895815	0.007794	0.1542	99.0	169.82470297813416
13	-0.42458516	0.39153332	0.21535932	-0.8998171	1000.0	0.0	0.0	0.0	0.0	-0.4913437	0.00033504324	-0.4900733	-0.49213025	70000	-1.663208e-07	0.19086406	-0.021555558	-0.18020108	0.9977246	0.012589884	0.1638	99.0	183.34449672698975
14	0.34505624	0.73854893	1.7079487	-0.37706834	1000.0	11.0	22.0	55.0	0.0	-0.066060804	0.00033581065	-0.06460215	-0.06688328	75000	-2.9563905e-09	3.8469024	-0.020082286	-0.22820783	0.9841208	0.008438591	0.1492	99.0	201.61495780944824
15	0.2236279	0.5672555	1.066242	-0.33465058	1000.0	0.0	0.0	0.0	0.0	-0.545662	0.00028473002	-0.5445114	-0.5463055	80000	7.839203e-08	0.26595926	-0.0253464	-0.24785438	0.99863875	0.016014416	0.2014	99.0	215.4238317012787
16	0.5294841	1.04642	2.37838	-0.48090434	1000.0	71.0	141.00212	353.0	0.0	-0.045185626	0.00031380256	-0.04422401	-0.045974717	85000	-1.6844272e-08	153.39815	-0.018883575	-14.639496	0.9850195	0.0027822289	0.1018	99.0	230.1370198726654
17	0.5301864	0.48858154	1.3023435	-0.029420469	1000.0	75.0	125.62484	323.0	0.0	-3.8738937	0.0006507509	-3.8721678	-3.8749418	90000	1.9311905e-09	153.2073	-0.016071446	-85.39351	0.9964541	0.008016479	0.1544	99.0	243.60856652259827
18	0.2992762	0.36849067	0.7471357	-0.31012192	1000.0	99.2	136.67976	347.0	0.0	-6.2685204	7.3637624	7.89819	-18.9165	95000	-1.1634826e-08	270.76898	-0.02176842	-232.93695	1.0129632	0.010769811	0.1448	99.0	257.8336510658264
19	-0.108764805	1.4283348	1.6415136	-2.658793	1000.0	58.0	116.0	290.0	0.0	-5.3041134	11.233115	0.08246419	-39.319435	100000	-1.4019013e-08	297.68436	-0.023159413	-251.08229	1.0283273	0.025289096	0.2342	99.0	271.53179359436035
