Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	Time
0	-0.45537955	1.2527469	2.8495183	-3.2367296	1000.0	0.22304682	0.076799154	0.38069206	0.03608945	40000	0.00888007	4.615821e-05	0.13011414	-0.10162349	1.8364363	0.0009789686	64.71038579940796
1	-0.7050537	0.85374147	0.7395041	-2.3453486	1000.0	-0.045758735	0.13936268	0.36553115	-0.48999462	80000	0.0009464478	-0.0016114258	0.033714436	-0.009005595	1.8473238	0.00083088706	134.51991939544678
2	-0.48461923	1.0228653	2.3739994	-2.2338371	1000.0	-0.05703225	0.21797007	0.46013978	-0.628887	120000	0.0009973145	-0.0029703018	0.03463841	-0.010374043	1.8342375	0.0013218477	201.12893414497375
3	-0.47390223	0.78808784	1.5803638	-2.1516697	1000.0	-0.034531627	0.14632098	0.26964238	-0.3996203	160000	-0.009769937	-0.0011674957	0.027678909	-0.008085767	1.8527429	0.0012321306	272.27048802375793
4	-0.14922856	0.90722877	1.9681787	-1.5895283	1000.0	-0.04852893	0.09503996	0.19963458	-0.33473295	200000	-0.0007275238	-0.0007446945	0.03702686	-0.01104022	1.8396372	0.0013347622	349.4912028312683
5	-0.16589573	0.9096679	2.5292652	-1.8584086	1000.0	-0.02051908	0.043560185	0.17727041	-0.16263215	240000	0.0030319672	-0.0009517276	0.033243176	-0.0112537015	1.8413991	0.0008444465	421.29535365104675
6	-0.09344079	0.82003623	2.309464	-1.9500495	1000.0	-0.011927438	0.09500239	0.35978237	-0.23375985	280000	-0.0036165405	-0.0009366486	0.02369768	-0.0055383164	1.8400234	0.0013108259	492.0103597640991
7	-0.14633977	1.12433	2.0437574	-2.432379	1000.0	-0.0027691596	0.108670585	0.3686775	-0.27606153	320000	0.00822579	0.00026067812	0.03299084	-0.009197876	1.8406844	0.00061000965	560.9749934673309
8	-0.39868554	1.0563838	3.7297196	-2.8500764	1000.0	-0.017165951	0.15697521	0.45076478	-0.41681272	360000	-0.0013399201	-0.00057809136	0.03079075	-0.009629844	1.8412014	0.00041191748	631.781907081604
9	-0.07243125	1.4767696	4.0353713	-2.8300288	1000.0	-0.0179156	0.22096634	0.5953827	-0.5781512	400000	-0.0014034424	-0.00049289863	0.04051291	-0.013052328	1.8343309	0.00018191308	702.0268197059631
10	0.10551282	1.4851893	4.485615	-1.8027798	1000.0	-0.0036215156	0.23324879	0.84720707	-0.7730855	440000	-0.004871256	-0.00057273125	0.038720332	-0.012046864	1.8420035	0.00035087572	774.4694972038269
11	0.39126053	1.1540084	3.8666599	-2.0991824	1000.0	0.030980615	0.31185353	1.1565974	-0.68246055	480000	-0.007640741	-0.0008329032	0.039366562	-0.011983091	1.8414644	0.00015946961	845.496693611145
12	-0.1534761	1.3403853	3.1317291	-2.6144285	1000.0	0.017296575	0.23431623	0.83061117	-0.54577523	520000	0.003710399	-0.00093319244	0.033808026	-0.01060725	1.8405657	0.0003784391	916.8190817832947
13	-0.16503295	1.1210511	3.0418413	-1.9954218	1000.0	0.010739006	0.21806784	0.81042314	-0.60023874	560000	0.0011338776	-0.0013107758	0.027341196	-0.0065728035	1.8363132	0.00053838093	989.9196538925171
14	0.064607665	1.1496929	3.3565917	-1.6738288	1000.0	-0.02125537	0.20469621	0.588745	-0.5482489	600000	0.0035171837	-0.0007260756	0.03037211	-0.008968556	1.839791	0.0007187399	1065.6209135055542
15	0.31594032	1.1953266	3.8879216	-1.7000722	1000.0	0.018310478	0.22570007	0.95161146	-0.46680984	640000	-0.004517685	-0.0004465431	0.037436046	-0.00930414	1.8363321	0.00042950085	1144.062523841858
16	0.5105472	0.9786142	2.6794236	-1.1513971	1000.0	0.04596739	0.19794315	0.9327401	-0.54056	680000	0.0021409548	-0.00083039445	0.02758051	-0.005553063	1.8352426	0.0006097791	1215.62819647789
17	0.55202806	1.1650826	3.509152	-1.7189784	1000.0	0.06208986	0.18024214	0.7871942	-0.41974917	720000	0.0019144166	-0.00068633736	0.034604684	-0.00925363	1.8334324	0.00047337456	1285.6517395973206
18	0.2512471	1.0139942	2.570261	-1.6882288	1000.0	0.03303451	0.15755272	0.7890439	-0.36071312	760000	-0.0066867736	-0.00054984726	0.026170086	-0.0055387598	1.832492	0.0006570509	1352.0835282802582
19	0.35710496	1.0808033	4.275249	-1.3046467	1000.0	0.027534327	0.14161073	0.82551605	-0.34365204	800000	-0.0055518188	-0.00055482564	0.028230097	-0.0056830477	1.8397942	0.00032463938	1416.706062078476
20	0.47222996	0.7936052	2.59974	-0.79726344	1000.0	0.040325005	0.117434196	0.68569434	-0.3229358	840000	-0.007076782	-0.0011556614	0.022509994	-0.0044673365	1.8405467	0.00032974602	1482.7176406383514
21	0.40544447	1.0324321	2.9941177	-1.0803727	1000.0	0.043942906	0.10326644	0.66085815	-0.3035951	880000	0.0018784546	-0.0010286071	0.029301435	-0.006273737	1.8371661	0.00026446313	1547.6448812484741
22	0.41567746	0.9208822	2.9333737	-1.3357698	1000.0	0.026830878	0.100744724	0.53484994	-0.34994027	920000	-0.00082916947	-0.00042828295	0.023859503	-0.0043165907	1.8312789	0.00056057225	1615.570732831955
23	0.5193802	1.0424258	2.3911724	-1.6013318	1000.0	0.051879052	0.106353864	0.6253086	-0.36033234	960000	-0.01294848	-0.0006055422	0.031822965	-0.0068986993	1.830694	0.00041722323	1688.4485306739807
24	0.49325246	0.89596033	2.69127	-1.25173	1000.0	0.0417675	0.10752821	0.5890889	-0.29727614	1000000	-0.006230438	-0.00061857933	0.023419097	-0.0043512527	1.8482118	0.00025197057	1757.3042197227478
25	0.52267396	0.8944778	2.5948992	-1.4307654	1000.0	0.035782583	0.09605418	0.5503783	-0.28418136	1040000	-0.0003582447	-0.00042948953	0.02566391	-0.0043477174	1.8323414	0.0002025439	1832.7648763656616
26	0.48973608	0.80597955	2.7266922	-0.8880523	1000.0	0.06350857	0.12443583	0.81848127	-0.40463296	1080000	-6.998749e-05	-0.00052049715	0.024757922	-0.0048990045	1.8308717	0.0002884329	1905.8861815929413
27	0.56374216	0.9456876	3.3704505	-0.8733102	1000.0	0.043650564	0.12337156	0.6477236	-0.3500753	1120000	-0.00043893128	-0.00036615296	0.028105542	-0.004637655	1.8385078	0.00010363681	1970.0247888565063
28	0.36598197	0.7618331	2.5041373	-1.0185142	1000.0	0.036247645	0.10157058	0.7876565	-0.35209838	1160000	-0.006032386	-0.0006758552	0.02013306	-0.0030356161	1.8253554	0.0001516468	2035.3473374843597
29	0.8432869	0.96260345	3.8980684	-0.59390235	1000.0	0.034754902	0.11094493	0.714116	-0.37340045	1200000	0.0012571282	-0.00056421134	0.027251357	-0.005818026	1.8358837	2.1320291e-05	2099.3287670612335
30	0.6029211	0.9039356	3.5660262	-0.68917155	1000.0	0.0771126	0.11505074	0.8263495	-0.36918113	1240000	-0.0092826355	-0.0007623825	0.026063437	-0.0040563345	1.8266172	0.00021268721	2162.642377614975
31	0.94058436	1.2422756	3.4672549	-1.2344699	1000.0	0.06841074	0.13182312	0.7119139	-0.37956458	1280000	-0.004362091	-0.00036285399	0.03789625	-0.008764243	1.8426834	0.00031664828	2225.863890647888
32	0.8833624	0.98625755	4.033356	-0.5987008	1000.0	0.07892343	0.1565531	0.9077944	-0.41980267	1320000	-0.005059647	-0.00079793856	0.02782403	-0.004202813	1.8426183	0.0004416031	2289.1052606105804
