Epoch	AverageEpRet	StdEpRet	AverageEpCost	StdEpCost
1	-0.5055523	0.0	74.2	0.0
2	-0.39985222	0.0	50.2	0.0
3	-0.5494797	0.0	23.4	0.0
4	-0.30291024	0.0	222.2	0.0
5	0.022848582	0.0	19.0	0.0
6	0.086965784	0.0	43.2	0.0
7	-0.478655	0.0	54.6	0.0
8	-1.3963147	0.0	0.0	0.0
9	-0.52832305	0.0	186.4	0.0
10	0.8058656	0.0	121.6	0.0
11	1.6922071	0.0	5.6	0.0
12	0.8176509	0.0	172.8	0.0
13	0.9197546	0.0	105.0	0.0
14	1.6943579	0.0	98.2	0.0
15	2.5382557	0.0	111.8	0.0
16	2.3679938	0.0	74.8	0.0
17	4.87699	0.0	76.4	0.0
18	2.4593358	0.0	126.6	0.0
19	2.7566187	0.0	137.8	0.0
20	2.42687	0.0	78.8	0.0
21	2.5301962	0.0	27.0	0.0
22	3.9750907	0.0	35.2	0.0
23	3.4496055	0.0	81.4	0.0
24	2.8391068	0.0	42.6	0.0
25	3.7651017	0.0	99.6	0.0
26	6.013808	0.0	80.6	0.0
27	6.535608	0.0	59.4	0.0
28	5.7564044	0.0	85.0	0.0
29	7.7979317	0.0	45.4	0.0
30	8.323084	0.0	91.2	0.0
31	8.859827	0.0	136.0	0.0
32	5.810018	0.0	98.2	0.0
33	7.1422815	0.0	112.0	0.0
34	8.970851	0.0	79.2	0.0
35	8.760143	0.0	100.4	0.0
36	7.452773	0.0	111.2	0.0
37	9.088075	0.0	56.6	0.0
38	8.09713	0.0	75.2	0.0
39	9.770422	0.0	46.0	0.0
40	10.59964	0.0	73.6	0.0
41	11.411923	0.0	33.0	0.0
42	6.2731957	0.0	38.4	0.0
43	12.702776	0.0	66.0	0.0
44	10.308559	0.0	84.8	0.0
45	10.877199	0.0	47.2	0.0
46	9.324536	0.0	37.6	0.0
47	10.160822	0.0	65.0	0.0
48	7.8250327	0.0	8.6	0.0
49	10.364287	0.0	75.8	0.0
50	12.537938	0.0	45.2	0.0
51	12.718376	0.0	56.2	0.0
52	13.0475235	0.0	58.8	0.0
53	11.220277	0.0	64.6	0.0
54	10.6319685	0.0	48.8	0.0
55	14.453761	0.0	23.6	0.0
56	12.060467	0.0	41.4	0.0
57	11.06768	0.0	74.2	0.0
58	14.92276	0.0	43.6	0.0
59	12.051798	0.0	94.0	0.0
60	16.40076	0.0	52.2	0.0
61	16.256622	0.0	53.8	0.0
62	12.037066	0.0	74.8	0.0
63	13.53624	0.0	62.6	0.0
64	12.113483	0.0	69.8	0.0
65	14.631081	0.0	69.8	0.0
66	13.661972	0.0	60.2	0.0
67	14.849167	0.0	93.6	0.0
68	14.720785	0.0	62.4	0.0
69	15.870962	0.0	53.4	0.0
70	15.155823	0.0	55.0	0.0
71	14.745834	0.0	34.6	0.0
72	15.340677	0.0	29.4	0.0
73	13.447821	0.0	5.4	0.0
74	13.193988	0.0	32.8	0.0
75	17.282372	0.0	47.2	0.0
76	16.210812	0.0	38.0	0.0
77	16.609509	0.0	29.8	0.0
78	15.812515	0.0	52.0	0.0
79	17.498053	0.0	70.6	0.0
80	17.901926	0.0	55.4	0.0
81	15.315341	0.0	127.6	0.0
82	16.476416	0.0	95.8	0.0
83	15.766083	0.0	53.8	0.0
84	15.568822	0.0	56.6	0.0
85	13.322367	0.0	94.6	0.0
86	14.408661	0.0	68.8	0.0
87	16.891655	0.0	70.8	0.0
88	16.470669	0.0	34.4	0.0
89	14.304794	0.0	33.4	0.0
90	16.932535	0.0	36.0	0.0
91	14.957349	0.0	25.2	0.0
92	13.962311	0.0	71.6	0.0
93	14.095065	0.0	53.4	0.0
94	15.644315	0.0	51.6	0.0
95	13.577372	0.0	27.4	0.0
96	16.195375	0.0	38.6	0.0
97	11.637601	0.0	59.6	0.0
98	14.4168625	0.0	30.8	0.0
99	15.490311	0.0	43.6	0.0
100	12.384976	0.0	202.4	0.0
101	15.457697	0.0	85.6	0.0
102	15.689728	0.0	40.4	0.0
103	16.655386	0.0	52.2	0.0
104	16.96437	0.0	46.6	0.0
105	17.766506	0.0	51.4	0.0
106	17.383236	0.0	36.4	0.0
107	15.853696	0.0	80.0	0.0
108	16.831776	0.0	63.6	0.0
109	15.7074995	0.0	34.4	0.0
110	15.324948	0.0	43.4	0.0
111	16.71101	0.0	28.4	0.0
112	16.523397	0.0	49.0	0.0
113	15.337458	0.0	42.6	0.0
114	15.602941	0.0	63.4	0.0
115	13.201071	0.0	50.6	0.0
116	16.197178	0.0	62.8	0.0
117	14.926013	0.0	76.4	0.0
118	16.167608	0.0	95.4	0.0
119	16.8984	0.0	70.2	0.0
120	17.92963	0.0	82.2	0.0
121	16.66238	0.0	26.4	0.0
122	16.193485	0.0	84.2	0.0
123	16.05238	0.0	80.2	0.0
124	16.730492	0.0	38.6	0.0
125	14.720652	0.0	80.0	0.0
126	18.053118	0.0	67.0	0.0
127	17.98796	0.0	94.0	0.0
128	19.123081	0.0	51.8	0.0
129	17.387186	0.0	82.8	0.0
130	17.730247	0.0	53.0	0.0
131	19.37006	0.0	59.0	0.0
132	20.303034	0.0	33.2	0.0
133	17.86518	0.0	62.6	0.0
134	18.35379	0.0	37.2	0.0
135	17.378057	0.0	44.6	0.0
136	19.1362	0.0	47.8	0.0
137	18.385986	0.0	79.2	0.0
138	18.797152	0.0	44.8	0.0
139	15.9708805	0.0	56.6	0.0
140	17.879318	0.0	64.0	0.0
141	17.16375	0.0	30.4	0.0
142	16.017254	0.0	81.0	0.0
143	18.5375	0.0	40.6	0.0
144	19.779377	0.0	42.0	0.0
145	18.503769	0.0	43.6	0.0
146	19.99208	0.0	20.2	0.0
147	18.581203	0.0	67.6	0.0
148	20.001736	0.0	38.4	0.0
149	19.422855	0.0	39.0	0.0
150	15.814993	0.0	138.2	0.0
151	17.484015	0.0	94.2	0.0
152	18.44872	0.0	62.4	0.0
153	19.254335	0.0	49.2	0.0
154	19.756693	0.0	87.8	0.0
155	19.659588	0.0	46.4	0.0
156	20.37228	0.0	46.8	0.0
157	20.678253	0.0	20.6	0.0
158	18.578455	0.0	54.6	0.0
159	20.020943	0.0	49.8	0.0
160	18.700321	0.0	67.8	0.0
161	19.66484	0.0	65.8	0.0
162	19.110928	0.0	13.2	0.0
163	20.354105	0.0	79.2	0.0
164	20.196503	0.0	50.0	0.0
165	20.591618	0.0	62.2	0.0
166	17.897364	0.0	91.6	0.0
167	19.047522	0.0	74.4	0.0
168	18.508266	0.0	53.8	0.0
169	18.34665	0.0	121.6	0.0
170	19.226185	0.0	64.2	0.0
171	18.69374	0.0	49.6	0.0
172	22.508343	0.0	33.2	0.0
173	21.341766	0.0	33.6	0.0
174	20.475107	0.0	46.6	0.0
175	19.297022	0.0	59.0	0.0
176	22.246683	0.0	27.2	0.0
