Epoch	AverageEpRetS	StdEpRetS	MaxEpRetS	MinEpRetS	AverageEpSdrS	StdEpSdrS	MaxEpSdrS	MinEpSdrS	EpLenS	AverageEpRetT	StdEpRetT	MaxEpRetT	MinEpRetT	EpLenT	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	LossDC	DeltaLossDC	Entropy	DeltaEnt	KL	Time
0	-0.6713953	0.28096116	-0.26607504	-0.94756925	-833.18243	3.3024135	-827.8763	-837.30316	1000.0	18.949818	1.3908285	21.049055	17.778366	1000.0	0.22290005	0.076772526	0.37244987	0.018737122	10000	0.01446528	0.0021908488	5933.2256	-2597.6875	1.4081411	-0.84293807	1.8234588	0.03836	0.03836008	19.251065492630005
1	-0.4996222	1.3358239	1.7607027	-2.3291936	-2451.1836	276.5758	-2129.1492	-2925.5237	1000.0	18.580746	1.4031852	20.210644	16.370703	1000.0	-19.660814	0.0022858076	-19.650684	-19.663671	20000	0.03505943	-0.0068893675	44529.562	-8933.691	0.62695444	-0.25229144	1.854148	0.04339087	0.043390777	39.97230005264282
2	0.09133496	1.8675145	2.960072	-1.8482562	-2598.9246	223.29832	-2293.3103	-2849.4578	1000.0	19.139265	1.7449276	22.10014	16.83155	1000.0	-43.067875	0.00034924332	-43.066074	-43.068478	30000	-0.005862788	-0.004418003	41019.707	-6860.8594	0.57083774	-0.27102792	1.8083547	0.042044878	0.042044893	59.40929579734802
3	-0.24296775	0.71971816	0.91918	-1.2871946	-2896.998	412.6399	-2261.8154	-3469.142	1000.0	19.420818	0.9012855	20.705673	18.387985	1000.0	-61.80545	0.0006058161	-61.802628	-61.80632	40000	-0.003830966	-0.0010555168	47251.344	-6996.0977	0.5123801	-0.34321052	1.8300488	0.047846913	0.047846984	78.79016399383545
4	-0.000637576	0.82543117	1.3326448	-1.1228174	-2636.3015	696.49133	-1652.6411	-3636.8467	1000.0	19.00976	2.545594	21.18511	14.316702	1000.0	-79.94095	0.00016430188	-79.94037	-79.941154	50000	0.0050130747	-0.0017572078	34860.445	-4319.8477	0.69175005	-0.32568768	1.8628912	0.055327892	0.055327784	98.15473294258118
5	-0.110723	0.99214107	1.216308	-1.5120627	-2965.301	193.82243	-2775.6309	-3275.6267	1000.0	19.101082	1.0913012	20.407686	17.418234	1000.0	-94.36347	9.4614086e-05	-94.36291	-94.3636	60000	0.003275124	-0.0011126155	35305.68	-5061.2188	0.45382917	-0.11986166	1.8232834	0.05088651	0.05088688	117.9657793045044
6	-0.78901213	0.45783207	0.09614955	-1.2035539	-3165.5632	239.05164	-2902.1025	-3514.6511	1000.0	18.568892	1.0852747	19.69701	16.535713	1000.0	-109.76482	0.00013206144	-109.764114	-109.765	70000	0.008086151	-0.0031529283	35411.52	-5302.256	0.35793948	-0.096913874	1.8227285	0.041848302	0.04184836	138.06264853477478
7	-0.8638169	0.58803684	0.015348221	-1.506112	-3120.017	282.58746	-2720.2793	-3395.299	1000.0	18.99152	0.9761941	20.327967	17.964539	1000.0	-125.574776	0.000118032425	-125.574326	-125.57492	80000	0.020994192	-0.0036979485	29224.016	-4316.8086	0.35488266	-0.12805387	1.8354771	0.07419145	0.07419145	159.25945115089417
8	-1.1400528	0.6139246	-0.17146157	-1.7874724	-3293.0444	193.04266	-3076.6938	-3622.3193	1000.0	20.103405	1.1983794	21.95151	18.29121	1000.0	-139.99275	8.218979e-05	-139.9924	-139.99284	90000	0.0023614636	0.010692244	31072.281	-4563.5684	0.28648618	-0.12499112	1.8535695	0.06038773	0.060387585	179.67257452011108
9	-0.62565404	1.0342616	1.1162864	-1.655378	-3165.866	325.1128	-2705.0945	-3574.0334	1000.0	20.33289	2.0269423	23.177252	18.297844	1000.0	-154.78235	0.00011733503	-154.78181	-154.78247	100000	0.021290619	0.0009954497	24689.785	-3319.0273	0.36118662	-0.17136095	1.8436164	0.042564154	0.042564154	199.15062475204468
10	-0.9290983	1.2763056	0.7701011	-3.0863855	-3412.5356	229.14207	-3159.774	-3841.297	1000.0	18.749727	1.1131793	20.751963	17.529404	1000.0	-167.65698	9.4565105e-05	-167.6564	-167.65707	110000	0.015482523	-0.0056901854	26464.611	-3585.9434	0.27282	-0.13689888	1.8440195	0.050108433	0.050108362	218.81071829795837
11	-0.3151641	1.09417	0.9903672	-1.9778047	-3079.8179	643.1495	-1959.8723	-3768.865	1000.0	19.298159	1.2591923	20.932703	17.691189	1000.0	-181.02232	7.00842e-05	-181.02197	-181.0224	120000	0.009632707	-0.04423003	17900.252	-1826.8105	0.377274	-0.22900793	1.8261756	0.33544195	0.335442	238.0394115447998
12	0.8040411	2.840608	6.4751873	-0.91709834	-2243.3015	230.57468	-1855.5493	-2564.0586	1000.0	18.689692	0.7418133	20.05414	18.032969	1000.0	-190.95798	2.3570754e-05	-190.95787	-190.95801	130000	-0.009307523	-0.066850334	3586.7607	-32.24878	0.9145412	-0.65864027	1.8412566	0.31923628	0.3192362	259.2722952365875
13	0.5102894	1.8781382	3.9707048	-1.479801	-2336.1223	644.7206	-1752.8058	-3376.613	1000.0	19.30624	1.0450815	20.807985	17.549767	1000.0	-192.81966	3.2457134e-05	-192.81949	-192.81969	140000	-0.014194068	-0.07376742	7092.569	-63.916016	0.9435652	-0.58979297	1.8397164	0.5351782	0.53517824	280.65910506248474
14	-0.62369853	0.1935445	-0.317936	-0.814873	-2395.191	134.21367	-2176.664	-2557.1067	1000.0	19.853466	1.5054861	21.589054	17.338615	1000.0	-194.6914	2.1831269e-05	-194.69131	-194.69142	150000	-0.017423047	-0.033959985	3754.5388	-115.23291	0.62658983	-0.37629968	1.840437	0.3246342	0.32463425	301.1863520145416
15	1.3011546	1.8919009	4.7643123	-0.24589236	-2263.449	1131.6146	-851.88196	-3891.935	1000.0	20.11416	1.0736688	21.864717	18.915176	1000.0	-197.32014	2.8432984e-05	-197.32	-197.32016	160000	-0.013716071	-0.036877383	13296.561	-25.144531	0.73651916	-0.50803214	1.8443915	0.22780478	0.22780491	322.84081411361694
16	0.6909206	0.8814978	1.8153837	-0.49338382	-2898.311	546.15564	-2200.4355	-3770.6316	1000.0	19.504843	0.9730431	21.326593	18.559032	1000.0	-198.68279	1.35382525e-05	-198.68274	-198.6828	170000	-0.0037465545	0.0058359494	10789.869	-1007.9375	0.41854548	-0.20028044	1.8164741	0.06523526	0.065235466	343.9499354362488
17	0.12058308	0.26128444	0.55285394	-0.25303808	-3015.0938	476.59097	-2465.4539	-3820.9775	1000.0	20.205389	1.7009006	22.18984	18.096039	1000.0	-206.5928	1.5478461e-05	-206.59277	-206.59283	180000	0.00182976	-0.014413237	10703.025	-1117.4014	0.309011	-0.14917779	1.8250536	0.21602857	0.21602847	363.8021581172943
18	-0.27431482	0.052700944	-0.20931374	-0.3661534	-3408.5925	570.1525	-2391.242	-3951.5183	1000.0	19.459438	1.2325919	20.815102	17.844246	1000.0	-215.475	3.4377343e-05	-215.47493	-215.47499	190000	0.010757237	-0.0017213821	16586.83	-2218.8623	0.26323086	-0.15431878	1.8359289	0.05248475	0.052484546	384.94496870040894
