Epoch	EpochBatchSize	VALORLoss	PolicyLoss	Time
0	10	0.0	0.050237752	0.737576961517334
1	10	0.0	0.17971095	0.7622816562652588
2	10	0.0	0.05619781	0.7843215465545654
3	10	0.0	0.18543613	0.8053836822509766
4	10	0.0	0.04831775	0.8277683258056641
5	10	0.0	0.16326466	0.8496346473693848
6	10	0.0	0.21276626	0.8712460994720459
7	10	0.0	0.059253503	0.8933954238891602
8	10	0.0	0.14105146	0.9226880073547363
9	10	0.0	0.04867688	0.9590268135070801
10	10	0.0	0.021656333	1.0026988983154297
11	10	0.0	0.14361045	1.045849323272705
12	10	0.0	0.11468834	1.0778305530548096
13	10	0.0	0.1427022	1.1158013343811035
14	10	0.0	0.03757707	1.1590039730072021
15	10	0.0	0.049312405	1.1961605548858643
16	10	0.0	0.029702038	1.2370498180389404
17	10	0.0	0.09152085	1.2764511108398438
18	10	0.0	0.14029238	1.3041918277740479
19	10	0.0	0.1906779	1.3281617164611816
20	10	0.0	0.08130424	1.364745855331421
21	10	0.0	0.082588635	1.409468412399292
22	10	0.0	0.06474842	1.444023609161377
23	10	0.0	0.08398484	1.4820687770843506
24	10	0.0	0.041047797	1.5158929824829102
25	10	0.0	0.09509559	1.5388166904449463
26	10	0.0	0.1124837	1.5780680179595947
27	10	0.0	0.13054542	1.6195318698883057
28	10	0.0	0.09394901	1.6567878723144531
29	10	0.0	0.05590249	1.69411301612854
30	10	0.0	0.07515313	1.7253005504608154
31	10	0.0	0.08532675	1.7505145072937012
32	10	0.0	0.1314435	1.8101301193237305
33	10	0.0	0.09711921	1.85797119140625
34	10	0.0	0.13737714	1.8928148746490479
35	10	0.0	0.032290753	1.9248318672180176
36	10	0.0	0.12360729	1.9473891258239746
37	10	0.0	0.026207378	1.9788963794708252
38	10	0.0	0.16734271	2.010559320449829
39	10	0.0	0.15941854	2.0485262870788574
40	10	0.0	0.110628225	2.085832357406616
41	10	0.0	0.17598672	2.1205341815948486
42	10	0.0	0.11149971	2.143698215484619
43	10	0.0	0.16499797	2.179152250289917
44	10	0.0	0.16904426	2.2197165489196777
45	10	0.0	0.071803376	2.2557449340820312
46	10	0.0	0.06498037	2.2923641204833984
47	10	0.0	0.08032983	2.332355499267578
48	10	0.0	0.09488511	2.356886863708496
49	10	0.0	0.09762265	2.391246795654297
50	10	0.0	0.08279314	2.4443726539611816
51	10	0.0	0.07953243	2.4813034534454346
52	10	0.0	0.08233197	2.5169191360473633
53	10	0.0	0.1927964	2.5394551753997803
54	10	0.0	0.08999419	2.564164876937866
55	10	0.0	0.106363274	2.601207971572876
56	10	0.0	0.14051273	2.6350927352905273
57	10	0.0	0.08163187	2.66618275642395
58	10	0.0	0.09741821	2.701972723007202
59	10	0.0	0.11915946	2.736395835876465
60	10	0.0	0.11662094	2.7680160999298096
61	10	0.0	0.097315855	2.805497407913208
62	10	0.0	0.07098188	2.8407280445098877
63	10	0.0	0.10194987	2.879016399383545
64	10	0.0	0.09855911	2.9130337238311768
65	10	0.0	0.117235884	2.941088914871216
66	10	0.0	0.091795444	2.9656553268432617
67	10	0.0	0.045398425	2.998453140258789
68	10	0.0	0.13150814	3.031980037689209
69	10	0.0	0.0786472	3.0672202110290527
70	10	0.0	0.1654956	3.121056318283081
71	10	0.0	0.1221116	3.1504440307617188
72	10	0.0	0.050861575	3.18086576461792
73	10	0.0	0.09884312	3.2311205863952637
74	10	0.0	0.06513715	3.272930860519409
75	10	0.0	0.113626026	3.3096275329589844
76	10	0.0	0.07514614	3.3377575874328613
77	10	0.0	0.15947983	3.3604016304016113
78	10	0.0	0.05925081	3.39396333694458
79	10	0.0	0.17760374	3.4291422367095947
80	10	0.0	0.07198378	3.4688198566436768
81	10	0.0	0.024045771	3.507397413253784
82	10	0.0	0.08415933	3.5333855152130127
83	10	0.0	0.06665513	3.555452585220337
84	10	0.0	0.11182801	3.583427667617798
85	10	0.0	0.10016154	3.619880199432373
86	10	0.0	0.11452119	3.6593246459960938
87	10	0.0	0.16527337	3.6944804191589355
88	10	0.0	0.10842554	3.729196786880493
89	10	0.0	0.046771787	3.7539772987365723
90	10	0.0	0.055680554	3.7880895137786865
91	10	0.0	0.09162903	3.820634126663208
92	10	0.0	0.1249315	3.8533520698547363
93	10	0.0	0.05934432	3.8860552310943604
94	10	0.0	0.046636794	3.9195680618286133
95	10	0.0	0.101740345	3.946408271789551
96	10	0.0	0.086214885	3.967181444168091
97	10	0.0	0.066261046	4.005561113357544
98	10	0.0	0.06396055	4.047584772109985
99	10	0.0	0.06215603	4.0832061767578125
100	10	0.0	0.088489145	4.124946355819702
101	10	0.0	0.10125991	4.148708820343018
102	10	0.0	0.11818371	4.168995380401611
103	10	0.0	0.061086617	4.195828199386597
104	10	0.0	0.097908184	4.231261253356934
105	10	0.0	0.1366308	4.2641730308532715
106	10	0.0	0.05984498	4.298672437667847
107	10	0.0	0.054826967	4.335479021072388
108	10	0.0	0.17016397	4.365987300872803
109	10	0.0	0.12901044	4.390485763549805
110	10	0.0	0.14157131	4.426359176635742
111	10	0.0	0.113659084	4.462500333786011
112	10	0.0	0.048958164	4.502460956573486
113	10	0.0	0.043941535	4.5428290367126465
114	10	0.0	0.11707848	4.566436290740967
115	10	0.0	0.08663497	4.589743375778198
116	10	0.0	0.0803903	4.626723766326904
117	10	0.0	0.12522566	4.66584849357605
118	10	0.0	0.06698305	4.7007551193237305
119	10	0.0	0.0801267	4.745801687240601
120	10	0.0	0.16042152	4.772839069366455
121	10	0.0	0.11305062	4.794810771942139
122	10	0.0	0.09741632	4.834919691085815
123	10	0.0	0.15578099	4.8690009117126465
124	10	0.0	0.047931273	4.89986777305603
125	10	0.0	0.16843246	4.941662788391113
126	10	0.0	0.2132761	4.9688451290130615
127	10	0.0	0.12228978	4.993911027908325
128	10	0.0	0.12258601	5.031347751617432
129	10	0.0	0.10531688	5.0641930103302
130	10	0.0	0.015879523	5.102631330490112
131	10	0.0	0.12320846	5.137652158737183
132	10	0.0	0.10308067	5.169819116592407
133	10	0.0	0.15638264	5.194246530532837
134	10	0.0	0.09572139	5.222460031509399
135	10	0.0	0.105669774	5.253890752792358
136	10	0.0	0.13840146	5.2889509201049805
137	10	0.0	0.12869877	5.327472925186157
138	10	0.0	0.09063478	5.361939430236816
139	10	0.0	0.11145504	5.391054153442383
140	10	0.0	0.07697488	5.42313551902771
141	10	0.0	0.19826563	5.460747957229614
142	10	0.0	0.16666517	5.497867822647095
143	10	0.0	0.12897728	5.544785499572754
144	10	0.0	0.014184266	5.569824457168579
145	10	0.0	0.15399787	5.594262361526489
146	10	0.0	0.08962377	5.620619297027588
147	10	0.0	0.040230405	5.665191888809204
148	10	0.0	0.13307445	5.702497243881226
149	10	0.0	0.17846772	5.744437217712402
150	10	0.0	0.049242806	5.7901434898376465
151	10	0.0	0.08699231	5.816370487213135
152	10	0.0	0.16393152	5.852570295333862
153	10	0.0	0.17897622	5.895979404449463
154	10	0.0	0.18811104	5.932995796203613
155	10	0.0	0.13327786	5.967130422592163
156	10	0.0	0.050466716	5.990689754486084
157	10	0.0	0.0987823	6.0140180587768555
158	10	0.0	0.057830818	6.043818950653076
159	10	0.0	0.062437855	6.0781776905059814
160	10	0.0	0.06421754	6.114124774932861
161	10	0.0	0.115636945	6.1545422077178955
162	10	0.0	0.06013722	6.193984746932983
163	10	0.0	0.14232452	6.242711305618286
164	10	0.0	0.09202607	6.278892517089844
165	10	0.0	0.14305942	6.313775539398193
166	10	0.0	0.11611575	6.352797269821167
167	10	0.0	0.07240852	6.391221761703491
168	10	0.0	0.075534955	6.413221120834351
169	10	0.0	0.08170531	6.433732986450195
170	10	0.0	0.06777728	6.471611261367798
171	10	0.0	0.08862209	6.506338119506836
172	10	0.0	0.10838046	6.540646553039551
173	10	0.0	0.16818003	6.581134796142578
174	10	0.0	0.099188104	6.614429712295532
175	10	0.0	0.08354846	6.6349873542785645
176	10	0.0	0.12467848	6.669008016586304
177	10	0.0	0.14306362	6.708898305892944
178	10	0.0	0.13958052	6.74742317199707
179	10	0.0	0.1539063	6.786964178085327
180	10	0.0	0.1597201	6.823303699493408
181	10	0.0	0.08906115	6.846060752868652
182	10	0.0	0.07875022	6.8792078495025635
183	10	0.0	0.11497605	6.915248870849609
184	10	0.0	0.0477518	6.948554039001465
185	10	0.0	0.076058455	6.986435890197754
186	10	0.0	0.04597802	7.015700101852417
187	10	0.0	0.025189746	7.037544012069702
188	10	0.0	0.14051694	7.063287973403931
189	10	0.0	0.0638291	7.107894420623779
190	10	0.0	0.082605384	7.1489622592926025
191	10	0.0	0.24195811	7.185186147689819
192	10	0.0	0.15347452	7.218033313751221
193	10	0.0	0.12020606	7.241441249847412
194	10	0.0	0.071508005	7.267650842666626
195	10	0.0	0.124207474	7.311752796173096
196	10	0.0	0.030289348	7.353400230407715
197	10	0.0	0.24235427	7.395498752593994
198	10	0.0	0.09133836	7.435807228088379
199	10	0.0	0.053027213	7.477596998214722
200	10	0.0	0.008729101	7.528249263763428
201	10	0.0	0.14390734	7.5691282749176025
202	10	0.0	0.033371862	7.61483097076416
203	10	0.0	0.053010315	7.644284725189209
204	10	0.0	0.06195281	7.672605752944946
205	10	0.0	0.06298964	7.722965240478516
206	10	0.0	0.056913663	7.79381799697876
207	10	0.0	0.08054756	7.853538751602173
208	10	0.0	0.08659772	7.93009352684021
209	10	0.0	0.0906391	8.006124496459961
210	10	0.0	0.13279162	8.066801309585571
211	10	0.0	0.08244576	8.15151047706604
212	10	0.0	0.0817564	8.226842403411865
213	10	0.0	0.10953208	8.266213178634644
214	10	0.0	0.07850748	8.296105861663818
215	10	0.0	0.13133429	8.317586660385132
