Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.6862133	2.0791194	1.9138166	-2.933462	1000.0	11.25	13.479151	33.0	0.0	0.17931408	0.072490424	0.30537662	0.0010531992	4000	-3.170967e-08	0.4465209	-0.015221819	-0.37179086	0.9189385	0.008767672	0.11125	79.0	10.452930688858032
1	0.100426406	2.1001694	3.2947967	-2.5292113	1000.0	28.75	31.29996	75.0	0.0	-0.06692444	0.36731797	1.1891502	-0.9939638	8000	3.3378602e-09	0.28337726	-0.015267683	-0.24627507	0.9008207	0.004706478	0.1015	79.0	19.095957279205322
2	2.195643	1.9735093	4.396079	-0.2419329	1000.0	72.25	32.84338	115.0	36.0	0.24206859	0.4480558	1.6095172	-0.7400107	12000	-3.9339065e-09	0.20422588	-0.019828068	-0.17517522	0.8950887	0.011537223	0.1595	79.0	27.542397260665894
3	1.1043117	2.0198328	4.451852	-0.84662646	1000.0	76.0	19.68502	106.0	51.0	0.05936418	0.43878007	1.1267802	-0.82010937	16000	-1.26361845e-08	0.08679649	-0.018589579	-0.066380486	0.89492613	0.011117167	0.14	79.0	35.971635818481445
4	1.1741028	0.92620915	2.570294	0.12773584	1000.0	10.25	17.753521	41.0	0.0	0.35079065	0.49266225	1.3352563	-0.71893203	20000	-5.9604646e-09	0.20122199	-0.02152569	-0.16573897	0.87725437	0.014362319	0.13625	79.0	44.41676735877991
5	3.2849352	0.97159594	4.241799	1.744868	1000.0	126.25	111.49972	288.0	12.0	0.30512947	0.31076863	1.0566956	-0.4107408	24000	1.3828277e-08	0.118845366	-0.02038451	-0.09138078	0.8671785	0.009512736	0.11675	79.0	53.079425573349
6	3.9173615	0.40104198	4.426669	3.3362203	1000.0	50.5	47.778133	112.0	0.0	0.36858386	0.5400126	1.4748814	-0.9266172	28000	5.9604643e-10	0.29237044	-0.019518856	-0.21330316	0.8638457	0.006658716	0.10725	79.0	61.546342611312866
7	5.539295	1.650921	7.041122	2.7955828	1000.0	87.0	72.790794	170.0	0.0	0.53778726	0.40958002	1.445984	-0.49479797	32000	-9.953975e-09	0.34180933	-0.02001214	-0.24709016	0.86538696	0.008854003	0.136	79.0	70.54231834411621
8	4.3539677	2.4367228	7.3722277	0.82608074	1000.0	24.5	31.5	77.0	0.0	0.8045023	0.41529247	1.9822268	-0.19969869	36000	1.4305115e-09	0.20480092	-0.025811084	-0.15862668	0.8344637	0.017960873	0.17225	79.0	80.07803463935852
9	7.66568	1.1498202	8.872564	5.7717257	1000.0	62.5	90.04027	218.0	0.0	0.6814177	0.45294002	2.0664644	-0.41266307	40000	9.536744e-10	0.36416322	-0.02576394	-0.30494532	0.8233927	0.01178083	0.1635	79.0	88.34680938720703
