Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-2.5243926	0.48286852	-2.0525134	-3.2662675	1000.0	0.0	0.0	0.0	0.0	0.18026187	0.07145113	0.30866915	0.012529075	4000	3.8504602e-08	0.28067383	-0.0111441715	-0.23945595	0.9189385	0.008310449	0.0725	79.0	8.332632780075073
1	0.33232403	1.7401829	3.207789	-1.402053	1000.0	10.5	18.186533	42.0	0.0	-0.16327274	0.2742527	0.5324638	-1.0054327	8000	-7.1525574e-10	0.11440542	-0.020544361	-0.09330265	0.93600225	0.013650411	0.17425	79.0	15.952741146087646
2	0.9727023	0.5805225	1.6158091	0.10870856	1000.0	194.25	82.11691	252.0	53.0	0.12550825	0.3547861	1.0419632	-0.68157536	12000	1.704693e-08	0.121284775	-0.018604066	-0.10858195	0.93125814	0.009859809	0.119	79.0	23.49040937423706
3	0.6359941	1.1574496	2.1685913	-1.0491768	1000.0	138.0	52.004807	191.0	68.0	0.12906148	0.38778242	1.1766667	-0.42002118	16000	1.1444092e-08	0.05561771	-0.022630474	-0.04350588	0.9080161	0.008537033	0.1645	79.0	30.744083166122437
4	2.5608284	2.0405593	5.956764	0.6277142	1000.0	133.0	73.43365	245.0	52.0	0.15831836	0.2700223	0.99004334	-0.31902894	20000	3.5762787e-10	0.060827363	-0.019518757	-0.045362286	0.8972988	0.011213382	0.116	79.0	37.85292172431946
5	3.263683	0.9056507	4.5904818	2.2028606	1000.0	178.75	51.678696	223.0	94.0	0.3602939	0.41927436	1.2324467	-0.37455592	24000	5.2452087e-09	0.053633742	-0.023983499	-0.037689783	0.87421805	0.013807932	0.16525	79.0	45.00352907180786
6	4.8299704	1.1440592	6.174119	3.3334827	1000.0	18.5	20.982136	51.0	0.0	0.27508542	0.4430814	1.5076311	-0.57131827	28000	-2.9802322e-10	0.19736528	-0.020037357	-0.16123147	0.8685131	0.017276201	0.19075	79.0	52.18273186683655
7	5.5930357	2.0813863	8.609057	2.8678555	1000.0	92.0	71.47727	169.0	11.0	0.45515466	0.40185952	1.5243816	-0.5086584	32000	-1.9311905e-08	0.15470831	-0.022292836	-0.12087007	0.8642373	0.011705188	0.12775	79.0	59.557865381240845
8	6.4964914	4.1611466	12.841178	2.7448552	1000.0	120.0	124.35433	308.0	0.0	0.7220869	0.4098378	1.8484598	-0.100194134	36000	-2.6226044e-09	0.16104896	-0.021821842	-0.12368052	0.8447881	0.009671397	0.1385	79.0	67.16670036315918
9	8.1406145	0.61400783	8.908837	7.3279357	1000.0	14.25	14.754236	39.0	0.0	0.81473595	0.46658704	1.8365773	-0.35350865	40000	-6.3180923e-09	0.15053599	-0.023192946	-0.110250056	0.83238083	0.013867202	0.1555	79.0	74.77062916755676
10	6.9694185	3.1473708	9.30249	1.5548326	1000.0	31.5	35.45067	86.0	0.0	0.7611005	0.4468509	1.6091608	-0.27611008	44000	1.6212464e-08	0.09254255	-0.021465642	-0.053418152	0.81087124	0.012897356	0.14325	79.0	81.92677617073059
11	6.431156	2.2652845	9.748719	4.1652207	1000.0	96.25	44.223156	150.0	27.0	0.72361	0.35789266	1.4585525	-0.34554622	48000	-2.3841857e-09	0.09156915	-0.021596773	-0.0498849	0.8006234	0.009475757	0.14475	79.0	88.8228268623352
12	6.811341	3.0122418	10.381712	2.0670884	1000.0	118.25	58.76808	201.0	37.0	0.6903647	0.42238146	1.6876497	-0.4568724	52000	-1.0371208e-08	0.08968888	-0.024237508	-0.05984527	0.79550546	0.013606713	0.15975	79.0	96.12472200393677
13	8.486852	2.6497738	11.653333	4.6419377	1000.0	66.0	34.92134	114.0	19.0	0.9137198	0.3068836	1.5953454	-0.098498985	56000	2.0503998e-08	0.06551889	-0.025665253	-0.038707107	0.78141207	0.012532868	0.141	79.0	104.12535905838013
14	9.8426075	1.0003127	11.037122	8.598028	1000.0	120.75	79.1561	234.0	18.0	0.9601726	0.36179912	1.721937	-0.5040855	60000	1.7493964e-08	0.07423789	-0.025115013	-0.049125094	0.7598074	0.012568549	0.14875	79.0	112.27202200889587
15	9.140612	2.2230864	12.285935	6.20511	1000.0	81.5	110.72601	269.0	0.0	0.97292715	0.27115566	1.6720331	0.37289295	64000	9.6559525e-09	0.109688856	-0.024143936	-0.07559867	0.7596712	0.014372274	0.16525	79.0	121.13980603218079
16	13.100269	0.8653748	14.251974	12.171551	1000.0	46.25	33.737034	79.0	0.0	1.1116775	0.43982154	1.8953708	-0.15797637	68000	2.861023e-09	0.14963365	-0.023845645	-0.09058379	0.744793	0.011408369	0.1525	79.0	130.0433144569397
