Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.2128181	1.0105256	0.22824506	-2.3386216	1000.0	8.25	14.289419	33.0	0.0	0.17964801	0.0706764	0.30542892	0.013480455	4000	7.1823596e-09	1.4337417	-0.011781209	-1.2012187	0.9189385	0.0054730857	0.09325	99.0	9.751392602920532
1	-0.8106164	1.1552595	0.20680386	-2.7430794	1000.0	6.5	11.25833	26.0	0.0	-0.16464567	0.6818207	1.950058	-3.378196	8000	-4.4703483e-10	0.9101182	-0.017700668	-0.7343026	0.935235	0.00918065	0.13925	99.0	19.766855239868164
2	-0.46995232	2.2093985	1.5724157	-3.8097742	1000.0	1.5	2.598076	6.0	0.0	-0.89002013	1.2408621	1.881724	-5.1668096	12000	4.2915342e-09	2.0489302	-0.02149384	-1.9714566	0.9512938	0.009129007	0.13325	99.0	29.86711549758911
3	-1.5863127	1.1495668	0.11575149	-3.0607123	1000.0	67.25	111.3449	260.0	0.0	-0.04117511	0.2513676	0.52024055	-0.6128994	16000	3.8146974e-09	35.108288	-0.01534509	-28.603172	0.9436355	0.004396672	0.0875	99.0	39.78827786445618
4	-1.0904276	1.3614928	0.46529126	-2.9471207	1000.0	9.5	16.454483	38.0	0.0	0.062267635	0.699845	2.2504926	-2.285475	20000	-2.169609e-08	2.3429255	-0.017229503	-2.146957	0.94485843	0.008824785	0.1015	99.0	49.46162486076355
5	-1.8912907	1.016977	-1.0892086	-3.636833	1000.0	23.0	39.83717	92.0	0.0	-0.47089443	0.7681193	0.2696265	-5.840932	24000	7.450581e-09	5.228799	-0.019260488	-2.9513824	0.94622993	0.01016982	0.1355	99.0	59.78181743621826
6	-1.5318627	2.02632	1.9725912	-2.8592646	1000.0	7.5	12.990381	30.0	0.0	-0.5109214	0.90631753	0.7509942	-3.6750605	28000	-6.198883e-09	1.1626766	-0.0151066715	-0.9332583	0.92565066	0.008801095	0.09325	99.0	69.9229166507721
7	-2.2788105	3.0028045	2.7318287	-5.2191753	1000.0	8.25	14.289419	33.0	0.0	-0.28986633	0.5532612	0.40516835	-6.220852	32000	-2.9802323e-09	1.1110774	-0.018595975	-0.7655159	0.9372739	0.011498857	0.15875	99.0	80.73040318489075
8	-0.48402703	1.3941716	0.9728661	-2.74681	1000.0	39.5	68.41601	158.0	0.0	-0.357119	0.79601085	0.40938288	-5.4540334	36000	-1.3589859e-08	24.117764	-0.01855884	-15.468256	0.936699	0.0025363807	0.0845	99.0	93.13649129867554
9	-1.0039635	1.2637411	0.30345672	-2.7269857	1000.0	27.25	47.198383	109.0	0.0	-1.7012116	2.5408175	1.3189378	-9.90109	40000	1.1026859e-08	7.437133	-0.023247639	-6.720755	0.9535952	0.012549875	0.1415	99.0	102.82075309753418
