Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.4310011	0.39376435	0.15774	-1.178872	1000.0	12.5	25.168432	69.0	0.0	-0.053264588	0.03440303	0.0377648	-0.12333755	10000	-1.5616417e-09	3.3829184	-0.009156445	-2.1589456	0.9189386	0.009353815	0.1351	99.0	49.451854944229126
1	0.18204176	0.902685	1.7397501	-0.76215047	1000.0	10.4	21.854977	67.0	0.0	-0.39088643	1.2820568	2.5974963	-4.9971437	20000	9.536744e-10	4.887778	-0.017383607	-4.0594997	0.9137555	0.010426561	0.1666	99.0	88.03487038612366
2	0.02275542	0.60856926	1.2367184	-0.97299564	1000.0	80.0	137.41252	406.0	0.0	-0.8466448	1.9483434	0.9865165	-11.08532	30000	-4.2152404e-08	87.878426	-0.0156419	-61.118393	0.9237126	0.0064029093	0.1271	99.0	122.10774421691895
3	-1.2290441	1.4108266	0.21596316	-3.8188	1000.0	9.0	18.78297	57.0	0.0	-1.8358393	4.5187783	0.35798132	-15.204349	40000	2.336502e-09	27.907372	-0.014239261	-20.408613	0.92501366	0.015962768	0.1877	99.0	155.18656849861145
4	-0.98059595	1.2128898	1.0007223	-3.3155649	1000.0	26.9	53.80046	135.0	0.0	-0.908934	0.009060961	-0.81628054	-0.91849536	50000	8.08239e-09	45.202534	-0.010448285	-0.79162216	0.92501086	0.004024313	0.0938	99.0	190.29514479637146
5	-0.024878765	1.5588921	3.922312	-1.3549806	1000.0	40.0	89.77639	303.0	0.0	-1.7906978	0.013077558	-1.6344273	-1.8007665	60000	-6.353855e-09	75.7264	-0.014981538	-0.86060333	0.93740076	0.0065668463	0.1156	99.0	224.1638035774231
6	-1.0567997	1.360882	0.5015062	-3.4682765	1000.0	29.5	55.09129	152.0	0.0	-2.7100098	0.0023135291	-2.6869226	-2.7116957	70000	5.00679e-09	58.685104	-0.0125233745	-0.1908989	0.94861317	0.0063112746	0.1143	99.0	259.46350049972534
7	-1.3967344	1.8342429	0.8848235	-5.635664	1000.0	0.0	0.0	0.0	0.0	-2.2741165	0.002911228	-2.2427135	-2.2761393	80000	-5.2757264e-07	4.2559795	-0.016560404	-4.0498843	0.96100575	0.011950617	0.1732	99.0	293.1757643222809
8	0.6869855	1.374948	3.0593324	-1.5783422	1000.0	64.4	145.10011	487.0	0.0	-0.27173403	0.002203679	-0.24779303	-0.27324402	90000	2.142191e-08	198.70786	-0.016027588	-19.01593	0.96398455	0.0067752847	0.1178	99.0	329.30456495285034
9	-1.8203659	1.8806803	0.95912707	-4.7077436	1000.0	21.7	43.95009	124.0	0.0	-4.643505	0.00027727586	-4.640611	-4.643741	100000	-1.5258789e-09	46.97678	-0.015150357	-6.446476	0.97424376	0.0060288208	0.1193	99.0	362.1837420463562
