Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.23191576	1.0614281	2.3047006	-1.5779774	1000.0	32.2	81.48901	308.0	0.0	0.017146252	0.045364402	0.122469135	-0.08023738	20000	-3.8743018e-08	427.23325	-0.007455935	-221.93259	0.9189385	0.0076069357	0.12165	99.0	31.712783813476562
1	-0.3440435	1.0559225	2.211925	-1.8285505	1000.0	4.4	14.252719	61.0	0.0	-6.2021747	10.642084	0.3885485	-26.950129	40000	0.0	201.20609	-0.013299343	-111.17468	0.91120374	0.011524326	0.15825	99.0	62.637972593307495
2	-0.47788328	0.87522036	1.0989217	-2.7916162	1000.0	22.25	47.178253	168.0	0.0	-4.06409	0.00031790702	-4.0628004	-4.0647573	60000	-1.7881394e-08	225.05144	-0.009186405	-30.317118	0.90710545	0.0060796193	0.113	99.0	93.42912459373474
3	-0.016050125	0.89760226	1.3277273	-1.7789775	1000.0	68.15	119.42792	394.0	0.0	-9.562129	0.0001846561	-9.561238	-9.562539	80000	-5.9604646e-09	856.59735	-0.010429342	-112.68595	0.9379941	0.0060647735	0.0827	99.0	124.72458243370056
4	-0.50308573	1.5581083	2.5667634	-3.6126535	1000.0	19.8	60.43972	275.0	0.0	-20.235716	8.018723e-05	-20.235334	-20.23586	100000	2.9802323e-09	457.29404	-0.010977544	-34.37995	0.9339601	0.008528577	0.113249995	99.0	156.08439564704895
5	-0.48823413	1.3338484	1.5520982	-3.147475	1000.0	3.75	16.345871	75.0	0.0	-26.132978	6.277127e-05	-26.132671	-26.133093	120000	5.9604646e-09	5.647767	-0.008482119	-0.13569772	0.9346396	0.015745766	0.1642	99.0	187.2578637599945
6	0.9724083	1.9377275	5.555464	-2.7645135	1000.0	21.35	45.020298	177.0	0.0	-26.502674	6.000357e-05	-26.50238	-26.502785	140000	-7.0780515e-09	207.099	-0.011532076	-24.865412	0.93616676	0.006261253	0.0966	99.0	218.54055786132812
7	0.62195957	1.5726864	3.1081438	-2.5593982	1000.0	9.95	16.85371	53.0	0.0	-31.497438	5.7977093e-05	-31.497158	-31.49756	160000	-8.195639e-09	38.659904	-0.011848738	-6.9301887	0.95344317	0.010134844	0.15185	99.0	249.4903223514557
8	1.1480125	1.7382586	4.927691	-1.9523607	1000.0	21.65	44.302685	173.0	0.0	-34.126194	5.2525935e-05	-34.125927	-34.126297	180000	8.940697e-09	219.55151	-0.013614145	-23.309082	0.96245277	0.008393432	0.123500004	99.0	280.4489665031433
9	1.0328195	1.9682173	5.7475715	-3.0495176	1000.0	41.55	69.42584	270.0	0.0	-38.941704	4.1843927e-05	-38.94149	-38.94178	200000	2.9802323e-09	658.848	-0.01216075	-114.53123	0.98120105	0.010383914	0.12835	99.0	311.3430278301239
