Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.16138783	0.4928822	0.8532475	-1.3242732	1000.0	17.4	44.891422	190.0	0.0	-0.05432558	0.035182327	0.03903545	-0.13104163	20000	-1.7881394e-08	8.3338175	-0.007820207	-4.8614626	0.9189385	0.0076489216	0.11445	99.0	19.281347274780273
1	-0.3695875	0.5966136	0.55078757	-2.2386405	1000.0	68.5	155.9229	582.0	0.0	-0.23366435	0.90006524	0.8211353	-8.694742	40000	0.0	25.236385	-0.009836827	-21.44071	0.9286008	0.005281481	0.0736	99.0	37.062137603759766
2	0.52288765	1.3231987	4.5186715	-2.24598	1000.0	56.7	106.57302	410.0	0.0	-0.43029112	1.7967367	0.27401614	-17.419638	60000	1.2665987e-08	96.20308	-0.01066892	-12.419213	0.93263674	0.0059002806	0.0917	99.0	54.69393062591553
3	0.1938086	0.99326277	2.095551	-1.5243462	1000.0	6.25	22.529703	102.0	0.0	-3.1220512	0.023115102	-3.0578542	-3.2149644	80000	-1.0430813e-08	15.429225	-0.00863905	-5.7551575	0.93110406	0.0059623607	0.09635	99.0	72.9884705543518
4	0.12612812	1.239631	2.5516152	-1.7375827	1000.0	6.55	21.889437	96.0	0.0	-0.72581196	0.0006420918	-0.72373235	-0.7307416	100000	2.9802323e-09	5.6769066	-0.008853698	-0.06283606	0.95827687	0.0062861345	0.1199	99.0	91.28602480888367
5	0.7722538	1.3546416	3.855856	-1.3988353	1000.0	37.2	108.88048	466.0	0.0	-0.47612363	0.00057627214	-0.47372234	-0.47847238	120000	-1.3411045e-08	66.48748	-0.009266886	-2.5376587	0.9605795	0.00683911	0.110599995	99.0	110.4020483493805
6	0.8299219	1.1497416	2.8270202	-0.91802514	1000.0	36.9	68.08296	233.0	0.0	-2.0641446	0.00047829867	-2.0621529	-2.066688	140000	-1.4901161e-08	59.648674	-0.012046364	-0.10056062	0.96889603	0.0069794366	0.097500004	99.0	129.08750677108765
7	0.12755263	1.42383	3.2686684	-2.576454	1000.0	30.1	75.43069	299.0	0.0	-2.378869	0.0007063902	-2.3761427	-2.3843122	160000	5.9604646e-09	58.9187	-0.01152434	-0.16659193	0.9663701	0.007384254	0.08295	99.0	147.75517797470093
8	0.35854417	1.4852092	3.8419528	-2.129699	1000.0	18.5	36.302204	108.0	0.0	-1.8826246	0.045267027	-1.7635673	-2.0765996	180000	2.9802323e-09	23.338053	-0.012280878	-18.280834	0.9892583	0.007828328	0.1091	99.0	166.85013008117676
9	0.3691941	1.43636	3.2446296	-2.3702927	1000.0	31.55	66.14187	241.0	0.0	-0.6168472	2.3004804	-0.063427776	-20.077429	200000	5.9604646e-09	64.613976	-0.012164542	-39.779182	1.0068322	0.010107139	0.113800004	99.0	185.99720692634583
10	0.14981487	1.7814935	5.4476824	-2.1511054	1000.0	0.0	0.0	0.0	0.0	-0.6786774	2.1042929	1.978092	-16.941864	220000	-1.1920929e-08	4.8039393	-0.011591071	-4.7807784	1.0330176	0.012160538	0.1232	99.0	205.07088375091553
11	0.3037942	1.323585	4.070491	-1.6249003	1000.0	5.6	17.09503	66.0	0.0	-0.00631111	0.012954016	0.07005268	-0.030064523	240000	8.940697e-09	4.2472377	-0.010148999	-0.09315791	0.9994787	0.0070637977	0.10125001	99.0	223.38833832740784
12	0.91038877	1.3173475	3.397982	-1.6154056	1000.0	35.75	99.35133	391.0	0.0	-0.3057102	0.0062047113	-0.25022328	-0.31939137	260000	-2.9802323e-09	48.93541	-0.012768817	-6.899872	1.0311413	0.0067850454	0.08635	99.0	241.9752161502838
13	-0.12830439	1.3054627	3.2492368	-2.7641132	1000.0	4.15	18.089432	83.0	0.0	-1.353408	0.8000346	-0.6783741	-3.7754343	280000	-2.4586916e-08	5.4952517	-0.008120801	-3.3662632	1.0502359	0.013067247	0.151	99.0	260.2635712623596
14	-0.040624976	1.6115841	4.910078	-2.3995123	1000.0	14.5	48.2478	211.0	0.0	-0.20338139	0.668487	-0.079548776	-7.283147	300000	1.0430813e-08	10.244957	-0.009427754	-0.33281586	1.0372148	0.007635995	0.09645	99.0	279.70070219039917
15	0.19657417	1.1670184	2.3334157	-1.52791	1000.0	15.9	49.268547	198.0	0.0	-0.45665064	0.12458314	-0.43254682	-6.529849	320000	0.0	5.8467245	-0.011414675	-4.6036463	1.0550332	0.006144126	0.10225	99.0	298.8457109928131
