Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.5363213	0.41375092	-0.044910617	-1.381792	1000.0	0.0	0.0	0.0	0.0	-0.05386178	0.034288716	0.03903545	-0.12822536	8000	3.7252903e-09	0.0077938186	-0.015810769	-0.0035622688	0.9189385	0.011489976	0.134375	99.0	15.652413368225098
1	0.20680086	0.4107216	0.76748186	-0.5847757	1000.0	147.625	127.52935	358.0	0.0	-0.047639556	0.053149432	0.082212806	-0.17487207	16000	1.1175871e-08	0.011346665	-0.019087017	-0.0074713877	0.91201526	0.009160794	0.14375	99.0	30.704025745391846
2	1.5652171	0.76402265	2.8846045	0.6709721	1000.0	106.875	153.72333	410.0	0.0	0.026293468	0.09397225	0.2510322	-0.21634328	24000	-2.2351742e-08	308.26453	-0.01870526	-57.72026	0.9016366	0.008403928	0.114375	99.0	45.850104570388794
3	0.89484924	1.2743762	3.5126173	-0.5255338	1000.0	9.5	16.933695	46.0	0.0	-7.622577	2.587995e-06	-7.622571	-7.6225834	32000	-2.2351742e-08	49.549522	-0.017360874	-37.19075	0.9113718	0.01094555	0.181875	99.0	61.04956579208374
4	0.9853304	1.8622904	5.1345763	-0.95971894	1000.0	75.25	108.28752	338.0	0.0	-1.4958186	3.111882e-07	-1.4958178	-1.4958191	40000	2.2351742e-08	242.83562	-0.018630348	-21.591347	0.91050345	0.0069780885	0.13575	99.0	76.09482002258301
5	0.8473709	0.7959022	2.3995082	-0.23349799	1000.0	30.875	67.844376	207.0	0.0	-6.1681795	1.1241884e-06	-6.1681757	-6.168182	48000	0.0	110.9845	-0.01468166	-10.1310425	0.9203268	0.0048146048	0.1275	99.0	91.37208962440491
6	0.31845176	1.040532	1.6755564	-1.5456306	1000.0	33.625	59.619495	160.0	0.0	-2.9668372	3.3742757e-07	-2.966836	-2.9668381	56000	2.6077032e-08	87.25043	-0.018492082	-0.0069503784	0.93589497	0.00870905	0.148125	99.0	106.37429761886597
7	0.26699215	1.6890965	3.147036	-2.3172135	1000.0	115.125	113.27007	368.0	0.0	-2.8830683	3.4134266e-07	-2.8830671	-2.8830693	64000	-7.450581e-09	398.49493	-0.018688083	-49.664703	0.941487	0.006510671	0.116125	99.0	121.4265353679657
8	0.324741	0.7519887	1.3324362	-0.9408119	1000.0	37.75	99.87711	302.0	0.0	-9.951777	1.4470653e-06	-9.951771	-9.95178	72000	-1.4901161e-08	206.77003	-0.015499592	-31.250832	0.941532	0.0035712896	0.13225001	99.0	136.4631791114807
9	0.08746393	0.68377566	1.1320606	-1.1571915	1000.0	17.25	45.63921	138.0	0.0	-4.356544	6.127172e-07	-4.3565416	-4.356545	80000	1.4901161e-08	66.8871	-0.017399967	-5.7556086	0.95458126	0.0086790845	0.14662501	99.0	151.71296191215515
10	0.6374967	0.9351127	2.2895124	-0.5329717	1000.0	20.0	45.5	139.0	0.0	-1.9509985	2.1623428e-07	-1.9509981	-1.950999	88000	1.4901161e-08	38.673313	-0.015303992	-0.020916939	0.9578279	0.011968909	0.149625	99.0	167.3370316028595
11	-0.2170231	1.4242533	2.018796	-2.0011377	1000.0	24.0	63.49803	192.0	0.0	-1.8056731	2.8913783e-07	-1.8056723	-1.8056732	96000	0.0	63.590942	-0.015216395	-0.2675444	0.9603109	0.0064139552	0.138875	99.0	182.37183165550232
12	0.06479372	1.1833471	2.1467865	-2.0871873	1000.0	8.75	17.137314	51.0	0.0	-2.325913	2.1622607e-07	-2.325912	-2.3259134	104000	0.0	13.758417	-0.016041968	-2.0487556	0.9731813	0.01332825	0.145875	99.0	197.46401691436768
13	-0.8389113	1.2744769	1.7571878	-3.152734	1000.0	3.5	9.26013	28.0	0.0	-0.8866129	1.1747182e-07	-0.88661253	-0.886613	112000	1.4901161e-08	3.708413	-0.013300117	-0.24250942	0.9834108	0.008277402	0.16475001	99.0	212.5814619064331
14	-0.24427187	1.328262	2.3254914	-2.1125505	1000.0	22.25	44.375526	133.0	0.0	-0.39202654	1.1227657e-07	-0.39202628	-0.3920269	120000	2.2351742e-08	65.379326	-0.015096545	-2.345189	1.0020943	0.0054759244	0.140125	99.0	227.64184403419495
15	-0.39295453	1.6139864	1.6507467	-3.113976	1000.0	5.875	15.543789	47.0	0.0	-1.9274253	1.992258e-07	-1.9274246	-1.9274256	128000	-1.1175871e-08	10.407331	-0.014072258	-1.4796481	0.9988308	0.0044700652	0.147	99.0	242.70924353599548
16	-0.051994532	1.1423827	1.8494401	-1.6471915	1000.0	16.875	30.337425	91.0	0.0	-0.710413	9.5520974e-08	-0.7104127	-0.71041316	136000	0.0	26.849623	-0.019151397	-0.57947266	1.0041223	0.0043263836	0.14775	99.0	257.7941954135895
17	-0.3083217	0.9419168	1.3955708	-1.4096112	1000.0	61.125	161.72154	489.0	0.0	-1.470252	1.0562811e-07	-1.4702516	-1.4702523	144000	-1.4901161e-08	282.5462	-0.015512988	-15.863308	1.0063839	1.9860454e-05	0.126	99.0	272.91674757003784
18	-0.67318356	1.8121855	2.624153	-3.3330863	1000.0	0.0	0.0	0.0	0.0	-5.4529276	8.741057e-07	-5.452925	-5.452929	152000	-1.1175871e-07	25.235565	-0.017019853	-24.065338	1.0047475	0.00787336	0.16425	99.0	288.03045201301575
19	0.97115976	2.042311	4.8852525	-2.0769014	1000.0	12.5	22.75412	64.0	0.0	-0.5323664	2.9932423e-07	-0.53236574	-0.5323671	160000	1.6763806e-08	20.71728	-0.018292747	-0.3606515	1.0070839	0.009421566	0.18675	99.0	303.35193967819214
20	-0.4833151	0.7347802	0.5252836	-1.6632793	1000.0	0.0	0.0	0.0	0.0	-1.1335049	2.7014454e-07	-1.1335043	-1.1335055	168000	7.505296e-07	1.0770766	-0.01647205	-1.0269594	1.0059466	0.00577338	0.167375	99.0	318.45104908943176
21	0.31531006	0.53691226	0.9190452	-0.9133682	1000.0	2.75	7.275816	22.0	0.0	-0.1209705	3.055117e-07	-0.120969765	-0.12097118	176000	-7.450581e-09	2.0486743	-0.015829153	-0.014793806	1.0130973	0.0028980318	0.101125	99.0	333.53951144218445
22	0.8114898	1.5180675	2.9265628	-1.7830215	1000.0	16.5	33.0	99.0	0.0	-0.2422218	3.0351694e-07	-0.24222098	-0.24222247	184000	2.6077032e-08	24.611557	-0.018116847	-1.2882166	1.0115925	0.009553995	0.17225	99.0	348.5633931159973
