Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.16138783	0.4928822	0.8532475	-1.3242732	1000.0	17.4	44.891422	190.0	0.0	-0.05432558	0.035182327	0.03903545	-0.13104163	20000	-1.7881394e-08	8.3338175	-0.007820207	-4.8614626	0.9189385	0.0076489216	0.11445	99.0	19.05298686027527
1	-0.3695875	0.5966136	0.55078757	-2.2386405	1000.0	68.5	155.9229	582.0	0.0	-0.23366435	0.90006524	0.8211353	-8.694742	40000	3.8743018e-08	67.37164	-0.009795422	-55.816692	0.9286008	0.0053458223	0.07735	99.0	37.415186405181885
2	0.487394	1.2909693	3.2706025	-2.1694214	1000.0	56.25	96.63068	284.0	0.0	-0.7038851	3.0158281	0.62829536	-23.161211	60000	-4.4703485e-09	129.25557	-0.009867549	-21.292774	0.9334078	0.0058735153	0.08765	99.0	55.378865480422974
3	0.20655772	1.2171338	3.0077639	-1.3216337	1000.0	27.05	90.98378	415.0	0.0	-3.6531274	0.00043034295	-3.651706	-3.6569521	80000	-1.4901161e-08	82.978836	-0.008969365	-1.502718	0.93265164	0.0038554822	0.08894999	99.0	73.47214913368225
4	-0.45838976	1.0562817	2.1312973	-2.2438095	1000.0	1.95	8.2733	38.0	0.0	-2.4219112	0.00023070531	-2.421082	-2.4226027	100000	2.3841858e-08	6.283551	-0.0066951043	-4.180592	0.95219946	0.0047661723	0.1056	99.0	91.40711641311646
5	0.66699564	1.579073	4.2080007	-1.76404	1000.0	16.75	57.985237	259.0	0.0	-0.36857176	0.00022384994	-0.3678044	-0.3694542	120000	-1.1920929e-08	54.852837	-0.008608955	-0.85913944	0.9543494	0.0055249394	0.08565	99.0	109.50243496894836
6	0.43454772	1.4869798	2.9407423	-2.1410525	1000.0	32.05	96.99922	361.0	0.0	-1.3003947	0.0002402107	-1.299548	-1.3015963	140000	2.9802322e-08	124.91344	-0.010349062	-1.7971947	0.9695096	0.0062300223	0.10395	99.0	128.35859370231628
7	0.045200266	1.3845345	3.9077868	-2.4074674	1000.0	3.8	16.563814	76.0	0.0	-2.6467664	0.00025799582	-2.6458364	-2.6487014	160000	2.682209e-08	10.931981	-0.00803345	-4.3133035	0.966792	0.005366158	0.10335	99.0	146.7694365978241
8	-0.41845465	1.4856132	3.3634675	-2.4050684	1000.0	7.7	21.531607	92.0	0.0	-0.55957043	0.00017091526	-0.55898505	-0.5606599	180000	-1.1175871e-09	9.637355	-0.009686689	-0.00096134545	0.98291826	0.008767905	0.1163	99.0	166.00957083702087
9	0.15292269	1.9166508	3.6727378	-3.3900738	1000.0	22.7	54.429863	175.0	0.0	-0.590495	0.00020885178	-0.5899056	-0.5920968	200000	-2.3841858e-08	57.34242	-0.011814726	-1.5057179	0.9952725	0.008468369	0.11229999	99.0	185.77985167503357
10	-0.5371682	1.8753664	3.3236492	-4.4776917	1000.0	14.5	52.067745	239.0	0.0	-1.8177508	0.00021591152	-1.8170378	-1.8188905	220000	-4.4703485e-09	31.250782	-0.009721567	-0.21713121	1.0014672	0.005973704	0.1067	99.0	206.4008767604828
11	0.30443257	2.5482085	5.9553413	-3.6237233	1000.0	0.55	2.3973944	11.0	0.0	-1.3533385	0.00023631082	-1.3525834	-1.3568527	240000	-7.264316e-08	1.698692	-0.008470294	-1.387785	1.0378399	0.006349498	0.104849994	99.0	225.36268281936646
12	0.47360474	1.9180384	3.818088	-3.0745752	1000.0	24.3	49.79267	187.0	0.0	-0.18046857	0.00020998297	-0.17981136	-0.1828947	260000	-1.4901161e-08	45.78717	-0.012342302	-2.594182	1.0559622	0.0076551633	0.111	99.0	243.72196698188782
13	0.09762522	1.6107107	3.0079365	-2.6773963	1000.0	3.9	11.704272	40.0	0.0	-1.7845111	0.00017318642	-1.7838361	-1.7853453	280000	-5.6624412e-08	6.3696966	-0.008565162	-1.6634909	1.0699517	0.007972615	0.119449995	99.0	262.10706520080566
14	-0.09782324	2.486606	4.943233	-4.9147706	1000.0	8.1	22.286543	81.0	0.0	-0.50062263	0.00015658989	-0.5000286	-0.5017893	300000	1.4901161e-08	10.262423	-0.010117829	-0.015413019	1.0771176	0.007739366	0.11750001	99.0	280.94699239730835
15	0.06545448	1.8304453	3.8948183	-4.5210185	1000.0	11.05	30.984632	113.0	0.0	-0.62413174	0.00017645211	-0.62343293	-0.62527335	320000	-8.940697e-09	20.86699	-0.012348071	-0.10177121	1.0933743	0.009519366	0.1231	99.0	299.4887294769287
16	-0.070798315	2.807359	4.5171804	-7.1201916	1000.0	45.0	91.6537	329.0	0.0	-0.94193816	0.00019457606	-0.9412303	-0.9432054	340000	-4.4703485e-09	125.2156	-0.013882579	-7.5038924	1.1160849	0.0062841745	0.1008	99.0	317.8589234352112
17	-0.21613768	1.4752824	2.0014143	-3.6130867	1000.0	19.45	34.90054	123.0	0.0	-3.6715817	0.00018520876	-3.6707215	-3.6724968	360000	-1.6391278e-08	40.90608	-0.011939991	-2.9640212	1.1309137	0.006963785	0.101950005	99.0	336.56950426101685
18	-0.80732	2.438992	4.997288	-6.1681685	1000.0	25.3	54.549152	201.0	0.0	-1.9545094	0.00015077787	-1.9538355	-1.9549488	380000	-1.1920929e-08	68.58107	-0.013261462	-0.09232192	1.1541753	0.007940516	0.1028	99.0	355.367644071579
19	-0.043869413	2.148557	3.1246312	-6.2904744	1000.0	15.6	42.95742	195.0	0.0	-2.2567966	0.00017741461	-2.2559147	-2.25754	400000	-4.4703485e-09	39.797432	-0.011132654	-0.7321785	1.1669763	0.008808218	0.10270001	99.0	374.333443403244
20	-0.77658486	2.7525225	4.004037	-5.3602676	1000.0	5.85	18.352861	82.0	0.0	-1.4057997	0.0002473315	-1.4048654	-1.4073244	420000	-1.4901161e-08	7.334713	-0.009895745	-0.6647492	1.1811218	0.00704779	0.1161	99.0	392.7453866004944
21	0.021002661	1.9469017	4.8904333	-3.1623013	1000.0	22.05	44.836895	145.0	0.0	-0.5946413	0.00023629086	-0.5936659	-0.59554833	440000	-1.4901161e-08	47.532413	-0.011768231	-1.499655	1.1903434	0.008781936	0.1258	99.0	411.27626276016235
22	-0.275037	2.8145185	3.337884	-6.4600973	1000.0	17.55	43.56544	181.0	0.0	-1.8132535	0.0003784447	-1.8117611	-1.8149267	460000	-2.9802323e-09	50.011387	-0.01181868	-0.015236234	1.2076973	0.007875076	0.11685	99.0	430.1953818798065
23	-0.9963609	2.354137	3.6825972	-6.3464775	1000.0	2.45	7.6320047	31.0	0.0	-1.6911159	0.0002682475	-1.6899955	-1.6923323	480000	-1.7881394e-08	3.9508018	-0.011282259	-1.7261217	1.2293438	0.0054301275	0.09379999	99.0	449.16484808921814
24	-0.8742701	2.9470458	5.4759855	-6.1366935	1000.0	14.9	31.611547	126.0	0.0	-0.38084826	0.00029696492	-0.379536	-0.382641	500000	0.0	30.19958	-0.011913985	-0.7042305	1.2447084	0.009828059	0.1128	99.0	468.4061486721039
25	-0.14978386	1.7925013	4.181974	-3.4544666	1000.0	4.25	13.175261	53.0	0.0	-1.2183245	0.0005605908	-1.2161906	-1.221763	520000	-1.4901161e-08	6.3950596	-0.010185574	-0.63394797	1.2734606	0.00799897	0.14565	99.0	487.2618372440338
26	-0.031830568	2.1262376	3.354728	-4.0892553	1000.0	5.7	15.205591	63.0	0.0	-0.42161757	0.0005950362	-0.4192305	-0.42491028	540000	7.450581e-09	7.340571	-0.011983385	-0.0058024228	1.2676772	0.010750794	0.13369998	99.0	505.9374270439148
27	-0.8891617	2.9485676	5.3828816	-8.2383995	1000.0	16.2	22.071701	73.0	0.0	-0.44587642	0.00410183	-0.42863858	-0.46299458	560000	-2.682209e-08	19.316906	-0.0135358	-0.68401957	1.2835343	0.006706331	0.1165	99.0	525.3583247661591
28	-1.7450466	2.815168	2.1092272	-9.297319	1000.0	9.45	29.34191	130.0	0.0	-1.2884232	0.007233704	-1.2717346	-1.3107328	580000	-7.450581e-09	23.787762	-0.010681523	-15.102156	1.2941002	0.0076719252	0.103999995	99.0	544.82976770401
29	-2.802498	3.4074059	3.4965043	-9.098359	1000.0	10.0	24.137108	99.0	0.0	-0.683341	2.335409	-0.14117908	-18.513086	600000	-2.9802323e-09	15.287039	-0.011708751	-9.380244	1.3115658	0.013245931	0.1727	99.0	564.2772209644318
30	-0.22106138	1.2268925	3.0834262	-1.6016115	1000.0	17.8	34.21929	128.0	0.0	-1.7020893	4.223265	0.5949721	-28.146402	620000	-2.9569491e-09	43.759544	-0.015260046	-33.744873	1.2951534	0.019075982	0.19085	99.0	582.7089898586273
31	-1.6829178	3.147343	2.6026936	-8.1785345	1000.0	11.1	23.91004	95.0	0.0	-1.818491	5.451787	0.28301796	-22.147638	640000	1.1920929e-08	42.392048	-0.013452461	-31.140728	1.2948033	0.01455565	0.16205	99.0	601.6136283874512
32	-1.4449257	2.1690612	4.166177	-7.786103	1000.0	12.85	34.57351	130.0	0.0	-0.9720095	2.092159	0.17691419	-7.55648	660000	1.7881394e-08	18.797022	-0.012553585	-11.241561	1.2793297	0.010716685	0.14495	99.0	620.244838476181
33	-2.3494875	2.727494	1.3186077	-9.462492	1000.0	4.25	7.898576	25.0	0.0	-0.5742255	2.544456	0.0696148	-17.029634	680000	4.4703485e-09	8.210043	-0.013538336	-5.964407	1.290989	0.014962152	0.17160001	99.0	638.9545745849609
