Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.10975362	0.4405343	0.52553535	-0.74302423	1000.0	46.5	47.384068	128.0	0.0	-0.2368713	0.08183953	-0.020830344	-0.45515412	8000	-2.2351742e-08	13.707674	-0.012635171	-5.5996475	0.9189385	0.0064300937	0.104125	99.0	18.249323844909668
1	-0.4292564	0.6347361	0.7847316	-1.1852038	1000.0	29.0	55.668663	164.0	0.0	-1.233217	1.7457432	2.6500616	-5.6627197	16000	-7.450581e-09	20.217129	-0.013188631	-17.509872	0.9222251	0.008005369	0.112375	99.0	35.88944625854492
2	-0.493808	0.92163324	1.2257706	-1.6880362	1000.0	12.375	32.741173	99.0	0.0	-1.7180564	4.9414673	1.3498303	-23.1362	24000	-1.7229468e-08	13.148668	-0.014495511	-12.116608	0.92300093	0.010112481	0.096875	99.0	54.45275115966797
3	-0.9597018	0.4879919	-0.4200108	-1.7977622	1000.0	18.875	30.616325	93.0	0.0	-0.14234498	0.20340446	0.44337505	-1.6880413	32000	0.0	10.842132	-0.01621851	-4.2264338	0.9034156	0.009023668	0.10875	99.0	71.01524519920349
4	-0.6341267	1.0049543	1.4230784	-2.0943968	1000.0	5.625	14.882351	45.0	0.0	-0.69670045	1.8939456	-0.015211541	-19.852518	40000	9.313226e-10	5.518022	-0.012896761	-3.710019	0.9275903	0.01177136	0.14037499	99.0	88.56321811676025
5	-1.17349	0.64087296	-0.38393533	-2.6510081	1000.0	7.0	18.52026	56.0	0.0	-0.2561607	0.03709801	-0.07794471	-1.5893075	48000	0.0	0.5312448	-0.010613918	-0.007960699	0.9245725	0.008784831	0.121	99.0	107.73612093925476
6	0.029416189	1.0270306	1.8192844	-1.1354784	1000.0	28.75	42.903233	103.0	0.0	-0.22510232	0.0791715	-0.14219683	-2.1203446	56000	8.8475645e-09	0.090129815	-0.016895827	-0.0461793	0.9320774	0.01157804	0.126875	99.0	125.3467013835907
7	1.4042739	1.5643991	3.0253532	-0.9846077	1000.0	17.0	35.878265	109.0	0.0	-0.01648383	0.018881686	0.026371527	-0.16399606	64000	0.0	0.4308407	-0.017614957	-0.007576287	0.9089899	0.010934982	0.176	99.0	141.72253108024597
8	2.219389	1.083438	3.6724825	0.47165194	1000.0	38.125	44.42814	111.0	0.0	-0.0074080783	0.073476605	0.22274011	-0.47807235	72000	7.450581e-09	0.1413977	-0.020434853	-0.054177403	0.8928667	0.012290163	0.140875	99.0	159.91777515411377
9	2.403573	2.3226805	6.573172	-0.21180436	1000.0	56.0	91.83001	277.0	0.0	0.1558706	0.1350033	0.5275999	-3.4110305	80000	-3.7252903e-09	15.066149	-0.01914075	-9.383197	0.87147367	0.0057363706	0.1075	99.0	178.79483914375305
10	2.3821733	1.9579291	4.3100824	-1.6024619	1000.0	13.625	36.048363	109.0	0.0	-0.9965353	2.0730023	2.5634396	-14.745435	88000	7.450581e-09	9.550832	-0.018811744	-8.563643	0.8735461	0.009205414	0.14875	99.0	198.43340849876404
11	2.039187	1.9532471	4.9397006	-1.112403	1000.0	0.0	0.0	0.0	0.0	-0.13861656	0.671878	1.2285863	-7.041185	96000	7.450581e-09	0.5661527	-0.017715087	-0.53110075	0.8783021	0.011378976	0.1615	99.0	217.85367274284363
12	2.558968	2.595375	5.975681	-1.8566062	1000.0	17.375	36.84066	112.0	0.0	0.06270154	0.30785275	0.24971339	-7.062476	104000	1.1175871e-08	1.4526819	-0.01619789	-0.15239015	0.84557575	0.008982938	0.155	99.0	235.93207836151123
13	0.62225395	1.0896779	2.3813949	-0.86042744	1000.0	7.125	18.850979	57.0	0.0	-0.070351556	0.28933164	0.8510041	-0.5015948	112000	-1.4901161e-08	0.12833014	-0.021690063	-0.09515861	0.8575462	0.010811994	0.132625	99.0	255.7967050075531
14	1.9594283	1.7638094	4.197528	-0.2912178	1000.0	43.75	86.63826	259.0	0.0	0.00912593	0.10058568	0.44202542	-1.3007255	120000	2.9802322e-08	0.11787431	-0.021042816	-0.07484225	0.8489046	0.01311883	0.146375	99.0	275.3826310634613
15	0.653221	1.7209566	3.1014023	-2.8413794	1000.0	17.5	32.599846	94.0	0.0	0.21711585	0.20759039	0.76067334	-0.14828892	128000	-2.9802322e-08	5.2324104	-0.015756212	-2.9309046	0.8330572	0.005853075	0.118999995	99.0	294.6477608680725
16	2.0050998	2.3141043	5.180863	-1.2210333	1000.0	22.5	31.492062	88.0	0.0	-0.3580631	0.7794602	0.8604201	-4.6961756	136000	-7.450581e-09	2.4561038	-0.02158947	-1.4761952	0.8459043	0.016339067	0.16225	99.0	312.220826625824
17	2.4382625	2.8387332	7.7026553	-1.3748507	1000.0	37.5	49.819675	130.0	0.0	-0.6265452	0.67899597	0.87130666	-7.9362307	144000	-1.1175871e-08	4.13218	-0.016690928	-2.401864	0.85797346	0.009371387	0.150125	99.0	332.25057673454285
18	2.4868975	2.0407765	6.2632837	-0.18499993	1000.0	30.625	68.44147	209.0	0.0	-0.1430326	0.78437895	1.6151232	-5.587444	152000	0.0	16.520025	-0.015721824	-12.642162	0.8614655	0.0068013477	0.125375	99.0	351.6212763786316
19	2.4492717	2.151687	5.9941754	-0.6226132	1000.0	15.5	28.648735	82.0	0.0	0.08509522	0.26127857	2.3714683	-3.891504	160000	-7.450581e-09	5.679441	-0.021376736	-5.3970556	0.8591709	0.0060625128	0.151625	99.0	368.67849683761597
20	2.5221004	2.2604408	5.45464	-2.0796819	1000.0	22.25	38.86113	99.0	0.0	-0.8989523	2.3272333	3.121488	-14.540343	168000	-2.0489097e-08	13.404226	-0.021891382	-9.084974	0.8668851	0.016787643	0.183875	99.0	387.05272579193115
21	4.304968	2.3707693	8.19688	0.19049549	1000.0	48.0	66.85245	195.0	0.0	-0.27845985	1.1037096	9.537693	-3.4271014	176000	0.0	13.811834	-0.021276634	-8.767088	0.85415745	0.0076844906	0.14525	99.0	406.4512505531311
22	1.6968355	2.901815	7.9607024	-1.3618965	1000.0	5.125	13.559476	41.0	0.0	-0.2655328	1.1845717	2.5805216	-8.182657	184000	0.0	3.10911	-0.0178728	-2.3816173	0.85853297	0.012045611	0.152625	99.0	423.2925612926483
23	3.0277636	2.564462	7.246892	-1.2164782	1000.0	86.75	181.38547	555.0	0.0	-0.05410131	0.6484857	6.102722	-6.2178774	192000	7.450581e-09	56.575718	-0.01887516	-53.997047	0.8466176	0.0036852537	0.098375	99.0	440.9886441230774
24	3.8853014	3.275894	9.139629	-0.0073909806	1000.0	98.125	169.61827	536.0	0.0	-0.7711326	2.4188108	7.642379	-23.86131	200000	7.450581e-09	258.0231	-0.018559061	-215.26968	0.86503464	0.005980796	0.108875	99.0	461.0362615585327
25	4.0342255	2.4253967	9.287258	0.68648666	1000.0	65.125	85.989006	269.0	0.0	-4.497468	7.47281	2.5782425	-40.029667	208000	-1.1175871e-08	115.893875	-0.020647984	-103.26372	0.87087005	0.010069044	0.15775	99.0	480.5253608226776
26	3.4022715	0.98568535	5.086655	1.9418353	1000.0	70.0	74.672615	222.0	0.0	-6.7569475	9.375256	0.2074809	-47.80819	216000	2.9802322e-08	175.53827	-0.020575032	-123.27845	0.85792017	0.012588114	0.16225001	99.0	497.67077803611755
27	3.0181477	1.0322876	4.660407	1.7687297	1000.0	27.25	32.75954	89.0	0.0	-5.6265087	5.4326534	-0.2318595	-40.994278	224000	-9.313226e-09	58.361732	-0.022784647	-48.514038	0.83961576	0.015132334	0.17462501	99.0	514.9333429336548
28	2.1196744	1.9683201	5.880513	-0.2860803	1000.0	103.125	194.24432	604.0	0.0	-1.3606989	2.1945205	26.626154	-14.632292	232000	0.0	444.92374	-0.01953198	-355.5181	0.81858206	0.0029748648	0.11075	99.0	533.5971581935883
29	2.401349	1.2014838	4.362548	0.90503246	1000.0	25.0	45.406498	139.0	0.0	-11.382036	14.72053	37.846565	-41.03742	240000	-2.9802322e-08	361.67856	-0.024396136	-290.5664	0.8231211	0.016638607	0.16187501	99.0	552.3626425266266
30	3.1490784	3.5590587	7.288878	-2.0978904	1000.0	47.375	66.56376	162.0	0.0	-3.5591753	0.7387119	-1.8958704	-5.806549	248000	-2.7939677e-09	114.5789	-0.0192351	-16.509293	0.80519474	0.001980629	0.12375	99.0	570.0237395763397
31	3.6147118	1.9970969	7.406055	1.5306144	1000.0	38.75	67.18398	161.0	0.0	-4.4020867	1.7345337	-2.8877063	-8.160937	256000	-7.450581e-09	118.362976	-0.018631719	-24.41821	0.81336975	0.008602015	0.1315	99.0	587.289304971695
32	2.2812655	1.7075075	5.280631	0.34489778	1000.0	69.125	164.804	503.0	0.0	-3.619584	1.4113735	-2.1401224	-10.86395	264000	2.9802322e-08	351.36877	-0.016361281	-191.49326	0.8305703	0.001940822	0.12475	99.0	604.840164899826
33	2.2640262	1.2392371	3.766128	-0.31254178	1000.0	62.875	109.87087	334.0	0.0	-2.6689873	2.0067048	-2.0130482	-26.578196	272000	7.450581e-09	266.3683	-0.020745452	-202.36572	0.84513134	0.008772714	0.127	99.0	622.9548103809357
34	3.8055499	2.858008	7.7964444	-1.3202404	1000.0	20.625	36.922005	114.0	0.0	-4.782	7.9608035	-1.4798613	-39.490658	280000	7.450581e-09	88.76953	-0.021660117	-59.654922	0.8605065	0.014460832	0.166625	99.0	640.8225040435791
35	4.08197	2.2851062	6.784905	0.16216594	1000.0	25.625	51.3321	158.0	0.0	-1.5437173	1.0692842	-1.0108461	-9.273637	288000	-2.2351742e-08	58.435566	-0.017596088	-40.716515	0.8408108	0.00739632	0.115499996	99.0	658.4993109703064
36	1.8811132	3.9174445	7.8973007	-3.833853	1000.0	6.375	11.831499	34.0	0.0	-0.21955319	0.5735595	-0.013865411	-12.382404	296000	-7.450581e-09	6.504405	-0.016825417	-1.3471828	0.8524503	0.004244467	0.12125	99.0	677.3262157440186
37	2.9364858	4.4780807	9.679177	-3.3067992	1000.0	28.875	45.840588	135.0	0.0	-0.95712525	1.5428575	-0.26878816	-26.774815	304000	-1.4901161e-08	47.304764	-0.019582901	-20.107943	0.88011974	0.0058211014	0.103625	99.0	693.8840925693512
38	3.4043372	2.8242218	8.588473	-1.2324764	1000.0	67.25	87.72507	250.0	0.0	-2.9273906	4.0877204	-0.98068994	-26.90362	312000	3.1664968e-08	264.535	-0.021472614	-78.44232	0.88825595	0.006503431	0.14975	99.0	712.0225186347961
39	3.813913	3.3354921	10.748435	0.97568846	1000.0	56.5	110.009094	343.0	0.0	-5.9126177	2.3134198	-4.1951537	-11.858952	320000	0.0	219.05115	-0.022108845	-50.84334	0.89417887	0.008153926	0.124625	99.0	729.4862236976624
40	2.779282	2.7099965	7.4419966	-1.5565784	1000.0	11.375	24.611671	75.0	0.0	-4.585634	1.0304412	-4.1720424	-12.792047	328000	0.0	31.061752	-0.02210097	-12.148363	0.8952764	0.011682953	0.16624999	99.0	747.6298682689667
41	2.299365	2.6968682	6.923603	-1.4299917	1000.0	4.125	7.490619	21.0	0.0	-1.5244424	0.59826547	-1.3692849	-11.661788	336000	2.9802322e-08	4.2221546	-0.016178478	-1.4549855	0.8810281	0.0152227655	0.16062501	99.0	765.3892314434052
42	1.0597904	3.0670485	7.492191	-3.2316167	1000.0	13.125	23.449081	64.0	0.0	-0.50547314	0.08052709	-0.49987328	-4.059586	344000	1.8626451e-08	24.54728	-0.017769229	-5.0877523	0.9137664	0.004565696	0.121249996	99.0	784.3057811260223
43	1.7844759	1.7519503	4.612613	-0.704757	1000.0	19.375	18.506334	54.0	0.0	-1.6124209	1.8563577	-0.51900613	-9.65101	352000	-1.4901161e-08	25.510529	-0.023639385	-5.12103	0.9221358	0.011148896	0.155875	99.0	803.6779906749725
44	3.1161628	2.9836624	6.011076	-3.830906	1000.0	15.25	24.432304	74.0	0.0	-1.5414948	1.1438978	-0.4887306	-4.547838	360000	1.3038516e-08	16.21561	-0.022044776	-3.320118	0.9265689	0.007194424	0.1365	99.0	821.619083404541
45	1.4501499	2.6968374	5.947858	-1.9094727	1000.0	12.375	19.025887	52.0	0.0	-1.4308573	0.98054457	-1.1962337	-14.251047	368000	0.0	15.471617	-0.019335821	-8.435096	0.9357876	0.0056513166	0.1205	99.0	843.6030173301697
46	2.6650205	3.0138109	8.06911	-1.7438059	1000.0	22.25	24.003906	62.0	0.0	-1.4413822	2.5303116	-0.30157954	-20.169561	376000	3.7252903e-09	35.110092	-0.022196863	-15.010804	0.9342475	0.010037762	0.164375	99.0	862.7889847755432
47	1.5258508	1.5662018	3.8483093	-1.130533	1000.0	23.75	30.849432	88.0	0.0	-1.5975904	1.6356788	-1.074017	-10.507649	384000	-1.7811544e-08	30.360313	-0.022271564	-10.485929	0.93367577	0.007498271	0.14050001	99.0	882.5793964862823
48	1.2203233	2.6400933	5.0036407	-2.5559542	1000.0	15.25	33.744446	103.0	0.0	-2.48476	3.1729217	-0.71727496	-13.756702	392000	7.450581e-09	25.395575	-0.021828406	-10.445574	0.94147104	0.0071261683	0.147875	99.0	895.7569100856781
49	1.2358015	2.9368737	5.478543	-2.3950384	1000.0	23.625	39.502968	104.0	0.0	-1.6972421	2.6238332	-0.86992145	-14.31178	400000	-1.8626451e-08	37.230843	-0.018430416	-12.54143	0.9352092	0.0052870694	0.135375	99.0	909.7863223552704
50	1.4270736	1.7902505	4.7515836	-1.3192649	1000.0	15.125	31.644262	96.0	0.0	-2.5805113	3.2293818	-0.84401923	-17.164375	408000	0.0	42.73207	-0.019506752	-32.203117	0.9471355	0.014007706	0.17449999	99.0	922.2885854244232
51	1.9641236	2.6971772	7.1114984	-1.2844355	1000.0	63.0	105.78398	324.0	0.0	-1.2906018	2.1896875	-0.24932355	-14.334207	416000	-2.2351742e-08	174.34796	-0.021843959	-135.14885	0.95474243	0.0072112447	0.12125	99.0	933.1733658313751
52	1.5583782	1.4856609	3.1507323	-1.1975772	1000.0	9.0	23.811762	72.0	0.0	-2.963508	4.7889233	-1.0622216	-40.35118	424000	3.1432137e-09	50.53276	-0.019752808	-29.484716	0.97400767	0.01256095	0.154625	99.0	944.3524572849274
53	1.0646193	2.4676669	5.413435	-2.9233627	1000.0	12.0	16.093477	42.0	0.0	-0.972594	0.058190268	-0.9597302	-2.348737	432000	-3.7252903e-09	13.789488	-0.018107606	-3.1038673	0.96168417	0.004598492	0.11825	99.0	957.1482241153717
54	-0.23661824	1.406047	2.5445702	-1.5190836	1000.0	2.375	6.2836595	19.0	0.0	-1.5151451	1.3935806	-0.76466024	-15.406203	440000	-4.649337e-09	3.5048795	-0.020163326	-2.3930502	0.98696995	0.012169772	0.136625	99.0	969.2402331829071
