Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.16138783	0.4928822	0.8532475	-1.3242732	1000.0	17.4	44.891422	190.0	0.0	-0.05432558	0.035182327	0.03903545	-0.13104163	20000	-1.1920929e-08	8.3338175	-0.008468768	-4.8614626	0.9189385	0.008464489	0.1184	99.0	19.068107843399048
1	-0.29270178	0.6616017	1.7404441	-1.197868	1000.0	71.1	118.835976	428.0	0.0	-0.3347649	1.036852	0.9001085	-10.00452	40000	-1.6763806e-09	0.9545927	-0.014220087	-0.76839286	0.9311508	0.010955673	0.14344999	99.0	36.96674394607544
2	0.023689795	1.3072052	3.463851	-3.032599	1000.0	71.45	119.74493	407.0	0.0	-0.0016206047	0.1347796	0.4044629	-0.55694306	60000	-1.1920929e-08	40.654648	-0.010881996	-26.491282	0.91604054	0.006760291	0.0738	99.0	54.832244634628296
3	0.24817006	0.9798461	2.1169732	-1.4364663	1000.0	66.0	132.34085	567.0	0.0	-1.5608952	2.5135748	-0.11441822	-14.002311	80000	0.0	103.79547	-0.012015027	-13.355797	0.9329853	0.0075501897	0.117199995	99.0	72.75776624679565
4	-0.13862939	1.2634012	2.2864077	-2.9571755	1000.0	45.3	70.6577	278.0	0.0	-3.2237017	0.29150042	-1.978559	-3.8318348	100000	-1.1920929e-08	58.53539	-0.011618627	-28.309738	0.935691	0.0059516123	0.10545	99.0	90.95024347305298
5	0.46784347	1.5993406	5.1910048	-2.0080209	1000.0	14.35	31.418587	109.0	0.0	-2.5345562	4.5670853	-0.42227155	-15.439251	120000	0.0	33.53294	-0.011711022	-22.439154	0.9417056	0.011219619	0.13900001	99.0	108.69088125228882
6	-0.47396874	1.6306586	3.8822854	-3.533073	1000.0	55.25	141.8971	528.0	0.0	-0.63014334	1.1379677	1.1897418	-5.812096	140000	5.9604646e-09	34.128807	-0.011192873	-26.679865	0.92285335	0.011067198	0.13710001	99.0	126.10947966575623
7	-1.1371088	1.522313	2.2372203	-3.9090168	1000.0	5.6	19.450964	87.0	0.0	-0.27066535	1.2513138	0.39705354	-19.723972	160000	0.0	3.2750542	-0.009406539	-1.5822356	0.9117142	0.010139583	0.108449996	99.0	143.70506381988525
8	-0.63447815	1.6322968	3.9067614	-2.9573302	1000.0	7.95	26.119867	118.0	0.0	-0.32584205	0.5430499	0.3962245	-3.4573538	180000	2.2351742e-08	0.43149465	-0.0150819	-0.3649686	0.89586383	0.008658029	0.121700004	99.0	161.43750405311584
9	0.5148333	2.1525984	8.130129	-1.8358318	1000.0	6.2	27.025175	124.0	0.0	-0.046132512	0.05634095	0.23625721	-0.19560634	200000	1.0430813e-08	0.08889414	-0.0136560295	-0.026120383	0.8763002	0.007712207	0.10450001	99.0	178.99662399291992
10	1.0984544	1.6970706	6.155626	-1.0932417	1000.0	2.75	8.43134	33.0	0.0	-0.037925344	0.18027128	0.8393219	-0.65828794	220000	-1.5646219e-08	0.0883045	-0.012844317	-0.028002549	0.8665186	0.011594911	0.1621	99.0	196.5873727798462
11	1.7548897	2.417573	8.930503	-0.6420666	1000.0	27.3	56.67989	247.0	0.0	0.16391787	0.12343157	1.0875598	-0.2464502	240000	1.4901161e-08	0.09008034	-0.01620501	-0.037836067	0.85441923	0.009641697	0.1459	99.0	213.9312036037445
12	2.1759014	2.453953	7.8471403	-0.2007953	1000.0	40.7	132.02693	606.0	0.0	0.20302545	0.26470777	1.5298985	-0.26080364	260000	5.9604646e-09	0.09283948	-0.015315737	-0.039184276	0.8258399	0.009361365	0.1245	99.0	231.57715106010437
13	3.7770972	3.3815532	10.304401	-0.5514237	1000.0	56.55	118.079414	489.0	0.0	0.26967487	0.35381082	1.8652685	-0.95020264	280000	8.195639e-09	0.09226405	-0.016120132	-0.033559762	0.81013787	0.009863381	0.1135	99.0	249.25802445411682
14	3.9055276	3.4675155	11.097572	-0.107556246	1000.0	58.85	129.50261	588.0	0.0	0.4516627	0.41590548	1.9076878	-0.30790958	300000	-4.0978194e-09	6.7333555	-0.011741504	-5.032939	0.7918144	0.0062740184	0.0993	99.0	266.5766875743866
15	4.556264	3.6881118	13.579347	-0.30260015	1000.0	54.7	74.244255	302.0	0.0	-0.7313809	1.6132166	1.3612497	-10.559687	320000	1.3411045e-08	14.995911	-0.012677839	-11.355743	0.7903062	0.008792772	0.11359999	99.0	284.43590545654297
16	5.7534075	3.2020445	12.069072	0.22861277	1000.0	33.65	54.523643	216.0	0.0	-1.3196834	2.5826592	0.70260435	-14.46195	340000	-8.940697e-09	14.602537	-0.014758827	-10.093444	0.79200137	0.0109207425	0.13895	99.0	301.91171050071716
17	5.626	3.522155	13.664898	1.6405199	1000.0	42.0	35.884537	118.0	0.0	-0.6759059	1.4796655	1.0131214	-10.746687	360000	7.450581e-09	2.7693963	-0.014590062	-1.9691099	0.79040855	0.008846426	0.10520001	99.0	319.3797416687012
18	4.4876823	4.831899	14.047804	-3.3799448	1000.0	49.1	83.27598	283.0	0.0	0.04301608	0.4464968	2.0318747	-1.2166728	380000	-2.3841858e-08	0.4595952	-0.015023217	-0.27664843	0.7795744	0.0075499034	0.10515	99.0	336.7169427871704
19	5.649311	4.4537544	16.433495	-0.95363045	1000.0	52.9	114.18183	524.0	0.0	0.5543501	0.5279633	2.4663172	-0.6530023	400000	-5.9604646e-09	0.20623322	-0.016033456	-0.07150995	0.7572726	0.010172543	0.12625	99.0	354.41603446006775
20	4.0240235	4.3061166	15.574923	-3.9440587	1000.0	18.8	29.640512	118.0	0.0	0.37253368	0.48695397	2.1550496	-0.45955732	420000	4.575122e-09	0.27787122	-0.015111325	-0.12155267	0.7387122	0.009320056	0.10035	99.0	371.91824412345886
21	7.455078	3.539877	12.892356	0.061375912	1000.0	28.4	27.736979	108.0	0.0	0.37349337	0.5393423	1.722218	-0.9467002	440000	-2.0861625e-08	0.30469668	-0.015296298	-0.1846694	0.74154836	0.009623992	0.12555	99.0	389.4408872127533
22	10.56487	4.440381	17.33756	1.5109832	1000.0	26.6	30.448975	113.0	0.0	0.9040789	0.5802091	2.0334537	-0.2957345	460000	-2.9802323e-09	0.17359841	-0.016307414	-0.057755996	0.72387767	0.008757719	0.11310001	99.0	406.9769775867462
23	10.425291	5.0024724	18.143496	-0.38025317	1000.0	29.75	34.751797	136.0	0.0	1.075144	0.58230543	2.328766	-0.2999103	480000	5.9604646e-09	0.2370762	-0.015927162	-0.10861176	0.70578444	0.008319982	0.11915	99.0	424.9521040916443
24	10.053348	4.866049	18.359669	-0.2935098	1000.0	60.95	77.43479	295.0	0.0	0.9808287	0.6811407	2.3773403	-0.20889795	500000	0.0	0.19152395	-0.015619469	-0.06114958	0.6938103	0.009037951	0.119	99.0	443.41517543792725
25	14.527684	3.4834783	21.069372	8.118536	1000.0	43.1	56.166626	256.0	0.0	1.3345821	0.49983191	2.2817276	-0.032012194	520000	0.0	4.313873	-0.012747618	-2.4925992	0.686845	0.008522233	0.10595	99.0	461.22897958755493
26	15.164894	2.6905556	18.841429	7.7438765	1000.0	48.6	43.789722	150.0	0.0	0.37692735	1.038201	2.0942445	-6.6952143	540000	-4.842877e-09	1.2942404	-0.013769224	-0.7742988	0.68857944	0.009601744	0.102199994	99.0	479.077175617218
27	12.063908	4.22989	19.110214	0.2942674	1000.0	44.15	61.262775	263.0	0.0	0.75428915	0.52077305	1.8611066	-4.075833	560000	4.4703485e-09	0.62971485	-0.013228133	-0.23170665	0.6821817	0.008995442	0.11825	99.0	496.6408312320709
28	13.642904	3.5662565	19.432167	3.183501	1000.0	49.8	38.589634	143.0	0.0	0.90388924	0.59203184	2.0849147	-2.2091448	580000	1.0430813e-08	0.4496073	-0.014480084	-0.30194357	0.6727669	0.007396561	0.094299994	99.0	514.2884361743927
