Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.06490151	1.5852033	4.2160077	-2.9994404	1000.0	31.7	46.14878	197.0	0.0	0.048455067	0.03965633	0.12682301	-0.04588131	20000	-8.940697e-09	264.04193	-0.00898233	-60.896076	0.9189385	0.007888241	0.091299996	99.0	18.57382106781006
1	-0.27810007	1.1910008	3.4739528	-2.4657521	1000.0	42.0	45.2073	134.0	0.0	-7.7725205	0.00069395144	-7.768621	-7.773498	40000	-1.1920929e-08	467.09613	-0.010980279	-139.87173	0.9385551	0.008402764	0.09295	99.0	36.30905532836914
2	-0.37604827	1.5367723	4.3087893	-2.0852456	1000.0	24.6	48.166794	157.0	0.0	-19.556892	0.00014231836	-19.556124	-19.557093	60000	-1.1920929e-08	305.6978	-0.010513646	-25.712748	0.9550055	0.005580941	0.083399996	99.0	53.94834041595459
3	-0.91248816	1.0636833	0.9156046	-2.99975	1000.0	23.35	64.72733	255.0	0.0	-24.663881	0.00011316238	-24.663269	-24.66405	80000	2.3841858e-08	758.99036	-0.009882793	-58.60224	0.9716878	0.0066840327	0.09385	99.0	71.46758389472961
4	-1.0268637	1.3384054	1.2477027	-3.214161	1000.0	9.95	19.00388	70.0	0.0	-32.376427	7.692458e-05	-32.37591	-32.376534	100000	1.0430813e-08	47.38212	-0.012057677	-4.135388	0.9667746	0.0072151152	0.10575	99.0	88.84871029853821
5	-0.557336	1.2122388	1.7593725	-2.9264889	1000.0	5.55	17.75521	75.0	0.0	-34.42671	7.314764e-05	-34.42625	-34.426815	120000	0.0	68.70074	-0.0097093275	-3.0947537	0.98098624	0.006106225	0.08705	99.0	106.37594842910767
6	-0.7215236	1.7760863	3.5336633	-4.1459427	1000.0	9.95	33.27533	146.0	0.0	-36.194164	7.361798e-05	-36.193756	-36.194275	140000	-2.0861625e-08	190.48679	-0.012424978	-8.935106	1.0070525	0.009423581	0.117199995	99.0	123.97027015686035
7	-0.4418765	1.0870031	1.8832176	-2.3422115	1000.0	6.85	21.131197	88.0	0.0	-39.186436	6.463106e-05	-39.186054	-39.186527	160000	1.1920929e-08	38.7913	-0.010132844	-1.2000159	1.0169759	0.010638502	0.12175	99.0	141.78105854988098
8	-0.5676597	1.8034682	4.8409863	-3.2094288	1000.0	16.2	53.940342	236.0	0.0	-40.278927	6.719528e-05	-40.27852	-40.279026	180000	0.0	949.7284	-0.010632294	-43.4411	1.0414934	0.009225319	0.09774999	99.0	159.9047451019287
9	-1.0870786	1.6630925	3.146456	-3.4526541	1000.0	9.45	31.792255	140.0	0.0	-46.855423	5.461673e-05	-46.855114	-46.8555	200000	-1.4156103e-08	79.50975	-0.010589156	-2.6054833	1.0676461	0.009410566	0.10875	99.0	177.02653694152832
10	-1.7274847	1.4049413	1.7547778	-3.495287	1000.0	5.45	23.756	109.0	0.0	-48.46211	5.3608685e-05	-48.46177	-48.46219	220000	0.0	101.911354	-0.010523377	-2.5858312	1.1064979	0.011156106	0.1321	99.0	194.46470069885254
11	-0.29411456	1.962798	3.1465034	-4.3672695	1000.0	6.3	18.91058	65.0	0.0	-50.060436	4.8479138e-05	-50.060135	-50.060505	240000	-1.0430813e-08	88.32039	-0.010163821	-4.3424826	1.1308769	0.0060150083	0.1081	99.0	212.17625999450684
12	-1.3245001	1.9687623	2.153109	-5.6250596	1000.0	0.0	0.0	0.0	0.0	-52.130962	5.0122653e-05	-52.130676	-52.131035	260000	5.9604646e-09	0.24166866	-0.011836901	-0.041170694	1.1454946	0.006038952	0.08010001	99.0	230.10666823387146
13	1.4586256	3.5434659	10.389434	-4.871538	1000.0	5.55	12.196208	47.0	0.0	-52.332745	4.628528e-05	-52.332447	-52.332806	280000	-4.4703485e-09	29.73811	-0.011431133	-1.4705174	1.1331106	0.0053081876	0.081350006	99.0	248.17038464546204
14	0.41857523	1.7827328	5.141855	-2.5127635	1000.0	1.55	4.674131	17.0	0.0	-53.540092	4.6668934e-05	-53.539787	-53.54016	300000	8.940697e-09	4.7023325	-0.010521899	-0.20327982	1.1496282	0.008696035	0.10275	99.0	266.44787335395813
15	0.8648472	2.8462083	8.350762	-3.8499205	1000.0	5.15	15.947648	64.0	0.0	-53.989964	4.392664e-05	-53.989655	-53.99002	320000	0.0	77.380295	-0.009991258	-3.9312592	1.1576201	0.008795913	0.129	99.0	284.40995955467224
16	2.0694277	3.3297677	8.690422	-3.5952492	1000.0	4.9	14.916099	57.0	0.0	-55.971886	4.4279393e-05	-55.971573	-55.97194	340000	-2.9802323e-09	90.008896	-0.0122119095	-5.4558396	1.1700808	0.0072714826	0.1347	99.0	301.89311385154724
17	1.0992492	2.7395604	7.052959	-3.0459015	1000.0	1.95	8.499852	39.0	0.0	-58.310562	4.2846845e-05	-58.3103	-58.31062	360000	2.9802323e-09	5.836678	-0.009452471	-0.012071997	1.1808349	0.006953402	0.11569999	99.0	319.4237005710602
18	1.7872639	2.2182615	6.8224936	-1.9190886	1000.0	26.6	61.203262	277.0	0.0	-58.420826	3.9224113e-05	-58.420567	-58.42088	380000	8.940697e-09	1089.3774	-0.011431066	-96.223114	1.1852447	0.005930134	0.07879999	99.0	336.98156571388245
19	0.96510315	2.4599075	5.282782	-4.110353	1000.0	12.3	32.778194	139.0	0.0	-68.188416	3.055427e-05	-68.18822	-68.18845	400000	-1.4901161e-09	425.09668	-0.010662941	-28.396015	1.1972935	0.004551989	0.086500004	99.0	355.0216426849365
20	-0.7047099	4.18907	7.199208	-10.523825	1000.0	9.55	17.875893	63.0	0.0	-73.49165	2.8363294e-05	-73.49145	-73.49169	420000	-8.940697e-09	136.75667	-0.013602003	-25.846851	1.2098191	0.0096478015	0.110400006	99.0	373.04081535339355
21	0.18146315	3.1124132	7.654976	-6.269438	1000.0	2.2	6.7201185	26.0	0.0	-78.550514	2.3949191e-05	-78.55033	-78.55054	440000	-5.9604646e-09	12.832497	-0.009579535	-0.66136646	1.2256587	0.0051055304	0.11235	99.0	390.84197878837585
22	1.9190582	3.3798733	7.600849	-4.7106037	1000.0	23.35	51.692623	196.0	0.0	-79.361	2.3410683e-05	-79.36084	-79.36103	460000	1.4901161e-09	811.75244	-0.0134402495	-78.13399	1.2263131	0.006430534	0.09714999	99.0	408.67487812042236
23	0.9184514	3.0248003	5.212736	-6.8206058	1000.0	12.5	22.143848	90.0	0.0	-88.14778	1.9482612e-05	-88.14762	-88.147804	480000	0.0	100.8294	-0.014073427	-14.23675	1.2405808	0.008474117	0.10335	99.0	426.38856315612793
24	0.38855818	2.5793192	5.2955084	-4.224845	1000.0	17.15	44.68364	158.0	0.0	-91.89895	2.167433e-05	-91.8988	-91.89899	500000	-2.9802323e-09	781.0615	-0.01204323	-65.584755	1.2498901	0.006514342	0.1115	99.0	444.3351683616638
25	-0.25992265	3.5669878	3.8658195	-10.507956	1000.0	15.1	47.73982	219.0	0.0	-99.947174	1.745373e-05	-99.94705	-99.947205	520000	2.272427e-08	805.3241	-0.008853549	-36.457176	1.2523493	0.00759146	0.10875	99.0	461.82992362976074
