Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.16138783	0.4928822	0.8532475	-1.3242732	1000.0	17.4	44.891422	190.0	0.0	-0.05432558	0.035182327	0.03903545	-0.13104163	20000	-1.1920929e-08	8.3338175	-0.008468768	-4.8614626	0.9189385	0.008464489	0.1184	99.0	39.724563121795654
1	-0.29270178	0.6616017	1.7404441	-1.197868	1000.0	71.1	118.835976	428.0	0.0	-0.3347649	1.036852	0.9001085	-10.00452	40000	0.0	25.787247	-0.010075378	-20.476128	0.9311508	0.007620209	0.10515	99.0	56.96340894699097
2	-0.5465271	0.88695693	1.7039844	-2.0419097	1000.0	36.45	75.889046	266.0	0.0	-2.5395968	4.6882834	0.68995845	-19.281979	60000	-1.7881394e-08	55.5559	-0.013067825	-26.615032	0.92495763	0.016932545	0.19649999	99.0	74.13244795799255
3	-0.022166539	1.1072296	3.0928292	-1.6903671	1000.0	8.75	28.675556	124.0	0.0	-2.0492737	2.9024856	4.76673	-22.997179	80000	-4.656613e-09	23.918282	-0.011534988	-11.870602	0.9208387	0.007837918	0.11385	99.0	91.2333767414093
4	-1.1166129	1.532303	2.266004	-4.481868	1000.0	52.3	129.94965	532.0	0.0	-0.5899895	0.24910915	0.1333507	-1.3891692	100000	-2.9802323e-09	105.94303	-0.011263624	-69.51973	0.9132657	0.006298085	0.085300006	99.0	108.39736914634705
5	-0.77390015	1.3841665	2.8725615	-3.1545908	1000.0	15.65	46.803074	207.0	0.0	-2.0340166	5.23427	1.4616368	-23.365828	120000	4.4703485e-09	53.447876	-0.01351372	-28.81879	0.9370285	0.012010296	0.1604	99.0	125.50274062156677
6	-0.84074086	1.1120532	1.7669294	-3.1875846	1000.0	33.6	64.586685	219.0	0.0	-1.4476955	1.9012483	0.5787033	-7.1008215	140000	1.7881394e-08	40.192066	-0.011850876	-21.75607	0.9192151	0.0077922074	0.09765001	99.0	142.77395606040955
7	-0.8952346	1.4132676	2.3196344	-3.2360203	1000.0	10.85	34.031273	147.0	0.0	-1.5163263	3.8562658	0.07913405	-14.325378	160000	-2.9802323e-09	31.647696	-0.012306331	-17.55994	0.9267708	0.009516498	0.109000005	99.0	159.8331699371338
8	-0.9835348	1.2310574	2.3430054	-3.0927398	1000.0	11.4	25.229744	87.0	0.0	-0.46245527	0.6987863	2.040298	-1.9951831	180000	-3.7718566e-09	10.422537	-0.010598205	-4.141997	0.9183687	0.01107881	0.12795	99.0	177.35979342460632
9	-0.6015267	1.637126	2.8613973	-2.6492317	1000.0	0.0	0.0	0.0	0.0	-0.6334747	1.3630501	0.24143076	-6.768086	200000	-2.9802323e-09	2.258908	-0.012496927	-2.2361546	0.9256414	0.007349753	0.0933	99.0	194.58662033081055
10	-1.1897268	1.5356655	1.6083424	-4.0971055	1000.0	4.65	20.268879	93.0	0.0	-0.047634702	0.027542839	0.25550118	-0.10836962	220000	1.4901161e-09	2.541634	-0.008297824	-0.07292462	0.920823	0.00960088	0.13335001	99.0	211.7462124824524
11	-1.0256567	0.9210243	0.5320416	-2.8611577	1000.0	0.0	0.0	0.0	0.0	-0.1935888	0.10464481	0.42914656	-0.43875405	240000	2.0861625e-08	0.04202376	-0.015541712	-0.021515295	0.9463726	0.009024983	0.14844999	99.0	228.7921164035797
