Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.20311928	0.5741134	0.77889895	-1.5557477	1000.0	35.0	105.0	350.0	0.0	-0.054893665	0.034340378	0.034479298	-0.12593828	10000	5.340576e-09	1655.1611	-0.0021276234	-1055.1254	0.9189386	0.0037495105	0.0335	99.0	43.544477701187134
1	-0.48527384	0.5930628	0.6079587	-1.2942027	1000.0	44.6	68.32598	194.0	0.0	17.210388	0.003059836	17.214758	17.195984	20000	-5.8174134e-08	815.06665	-0.0034803685	-695.5796	0.90611786	0.003975122	0.0478	99.0	91.20210647583008
2	-0.4974615	0.87250805	0.7634157	-2.2000382	1000.0	54.3	105.10476	347.0	0.0	36.644608	0.0012772852	36.64643	36.63745	30000	1.9083024e-07	159.4902	-0.0034990476	-130.83488	0.8889746	0.006517335	0.0648	99.0	133.17091917991638
3	-0.4329812	0.6920885	0.796186	-1.7878919	1000.0	0.0	0.0	0.0	0.0	46.7958	0.0009355018	46.797188	46.791092	40000	-1.3446808e-08	109.84125	-0.0047485214	-0.41978455	0.86378956	0.0039105364	0.0434	99.0	174.13224267959595
4	0.07103371	1.241808	1.871795	-2.1363676	1000.0	65.0	121.84252	361.0	0.0	47.439926	0.00090549607	47.441284	47.433834	50000	-1.502037e-09	12554.714	-0.004550595	-903.7051	0.8381386	0.0019422519	0.0346	99.0	216.9197437763214
5	1.1920638	1.3361119	2.5961583	-0.99446404	1000.0	126.4	152.43439	505.0	0.0	72.74549	0.00029469095	72.74591	72.74406	60000	-1.2159348e-09	3944.808	-0.0048411754	-5.7197266	0.8317665	0.0030236237	0.0241	99.0	258.24447798728943
6	-0.48172188	1.0755851	1.950846	-1.686382	1000.0	37.0	68.83894	223.0	0.0	70.75219	0.0003696335	70.7528	70.75005	70000	1.3809205e-07	2720.3208	-0.005938585	-2537.8174	0.8299489	0.004001103	0.0393	99.0	299.341730594635
7	-0.09833355	1.8125648	3.7997808	-3.1043358	1000.0	36.8	48.087	118.0	0.0	15.519776	14.175665	35.993576	-24.154634	80000	-5.7935714e-09	2639.3696	-0.0063988273	-1354.3912	0.84200954	0.0037217832	0.0386	99.0	340.443963766098
8	0.14663795	1.424494	3.0709393	-1.2128923	1000.0	55.8	77.96512	198.0	0.0	19.326347	20.311655	49.78488	-8.895318	90000	-2.2172928e-08	442.5034	-0.009332923	-356.78665	0.8365625	0.0056694243	0.0587	99.0	381.5104675292969
9	0.6842147	1.6463974	4.809498	-0.9857035	1000.0	77.5	89.15296	234.0	0.0	10.388786	8.021783	28.047344	-11.506992	100000	-1.0490417e-09	249.49005	-0.013633015	-127.89961	0.82130134	0.008013262	0.0976	99.0	422.6470515727997
10	0.83408487	1.4216702	4.8215294	-0.282452	1000.0	243.3	251.73558	693.0	0.0	14.756581	12.66926	47.965614	-3.4111872	110000	3.3569336e-08	581.5897	-0.015862426	-457.99606	0.81786305	0.011324904	0.1239	99.0	463.9083595275879
11	1.0523512	1.2942019	3.140763	-0.67935336	1000.0	122.3	125.9556	433.0	0.0	7.3547087	20.22057	50.295433	-50.57546	120000	4.386902e-09	670.2241	-0.015928375	-519.97815	0.80876195	0.0076111364	0.1122	99.0	505.1992790699005
12	0.6342522	1.3006847	2.556188	-2.0658357	1000.0	198.6	288.52942	803.0	0.0	-1.0251172	14.119345	16.358559	-43.718937	130000	1.1444092e-09	703.5311	-0.012895179	-522.7196	0.7919	0.0074712494	0.1092	99.0	546.2408528327942
13	1.8215296	2.1578429	5.6859136	-0.8724258	1000.0	109.1	139.47864	364.0	0.0	-1.2148592	8.147861	1.662061	-53.362057	140000	1.4209747e-08	507.12335	-0.010303117	-372.65085	0.7803497	0.007822253	0.0845	99.0	587.2173466682434
14	1.5588375	2.4639168	6.7983313	-1.0426234	1000.0	75.4	173.3114	568.0	0.0	5.8808274	11.875745	24.485245	-53.91671	150000	-2.193451e-08	512.2897	-0.015227382	-424.77643	0.7856645	0.01071742	0.1507	99.0	628.1057498455048
15	1.464988	3.4205637	9.35964	-2.9262323	1000.0	39.2	87.1066	296.0	0.0	1.6048808	14.191501	20.230463	-51.930107	160000	-3.2424927e-09	285.32996	-0.011767464	-168.49458	0.77860683	0.008800598	0.0936	99.0	669.2609717845917
16	1.7945197	3.4096687	5.7134433	-4.336572	1000.0	53.4	87.93884	303.0	0.0	1.6824657	1.6580642	5.937039	-2.1079524	170000	-3.7431716e-09	164.78833	-0.012822503	-109.55301	0.7752563	0.010105278	0.1348	99.0	710.2784969806671
17	-0.42558116	3.8913531	6.9173384	-6.2309165	1000.0	11.5	17.962461	48.0	0.0	2.7668533	4.288379	11.449539	-30.342505	180000	5.531311e-09	50.319565	-0.013228866	-37.3099	0.73812425	0.009222842	0.125	99.0	751.4167990684509
18	-0.12385543	2.8417547	3.6291509	-5.024539	1000.0	5.6	8.834024	22.0	0.0	1.5423108	2.5778797	20.188484	-1.335047	190000	1.1253357e-08	23.3656	-0.01525162	-13.332983	0.7208248	0.010250574	0.1649	99.0	792.5150272846222
19	-3.643821	7.6131873	8.722549	-14.6386795	1000.0	12.9	21.403038	60.0	0.0	2.7428014	4.018796	23.043762	-0.54710656	200000	3.2901764e-09	22.873028	-0.014436107	-11.022385	0.6993008	0.011282708	0.1554	99.0	833.7350418567657
20	-0.97844255	4.043735	3.7595074	-10.153871	1000.0	21.9	35.229107	105.0	0.0	2.868614	3.2390673	14.500512	-0.2631753	210000	-2.5629998e-09	84.93496	-0.016474418	-38.36018	0.6778246	0.012442827	0.1513	99.0	874.611266374588
21	4.621986	2.4878654	9.446477	1.1536881	1000.0	52.1	66.13085	239.0	0.0	4.0096774	4.185303	10.2211275	-16.368357	220000	-8.201599e-09	207.32927	-0.014128266	-113.45674	0.6536273	0.00908359	0.117	99.0	915.7148659229279
22	4.913062	5.5833387	12.542778	-5.614526	1000.0	42.4	61.60065	199.0	0.0	10.65321	9.869525	30.39108	-12.553759	230000	1.001358e-09	289.8953	-0.015725074	-206.77289	0.6307537	0.0094976965	0.1485	99.0	956.6682796478271
23	3.9592166	6.926118	12.137914	-9.144594	1000.0	37.8	32.192547	89.0	0.0	6.7920384	9.814218	27.81802	-32.393833	240000	1.5258789e-09	155.97693	-0.015063753	-98.496635	0.6204913	0.011395208	0.1503	99.0	1004.2991163730621
24	1.6789477	9.233862	14.370492	-10.259506	1000.0	16.9	23.226923	74.0	0.0	4.0756993	3.255364	46.653664	-2.2736459	250000	1.0967255e-09	44.58956	-0.015676828	-22.856794	0.61530155	0.0062511694	0.1236	99.0	1047.674444437027
25	-1.6280925	9.207444	12.798169	-18.456064	1000.0	32.6	59.67277	206.0	0.0	2.787173	3.3966703	16.160572	-1.2334747	260000	-8.106232e-09	75.10187	-0.014615612	-45.3376	0.5879582	0.009908381	0.1437	99.0	1088.8327441215515
