Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.16138783	0.4928822	0.8532475	-1.3242732	1000.0	17.4	44.891422	190.0	0.0	-0.05432558	0.035182327	0.03903545	-0.13104163	20000	1.1920929e-08	97.208046	-0.007990828	-57.65513	0.9189385	0.0067892806	0.109000005	99.0	19.203409671783447
1	0.0022967458	1.0127714	2.7374213	-1.9940062	1000.0	79.2	153.01686	483.0	0.0	-1.7355795	4.2643404	0.43073532	-16.242834	40000	-5.9604646e-09	1623.1953	-0.011354295	-750.5133	0.92999876	0.0063540437	0.088599995	99.0	37.34438228607178
2	-0.07810241	0.9754546	2.250935	-2.5931191	1000.0	58.5	104.43347	375.0	0.0	-20.15467	15.940411	0.51703477	-36.230934	60000	-1.0430813e-08	1425.7035	-0.009985521	-455.9707	0.9245068	0.0069248406	0.105900005	99.0	55.01114630699158
3	-0.09307127	1.1510103	2.3428118	-1.946556	1000.0	0.75	3.269174	15.0	0.0	-12.307831	15.505232	12.355703	-45.43668	80000	-8.940697e-09	270.18198	-0.01399335	-252.54936	0.9212712	0.010933454	0.12810001	99.0	73.41501879692078
4	-0.4248301	0.7703109	0.78773785	-2.0336714	1000.0	14.25	48.965164	218.0	0.0	-3.759491	3.8898032	9.142833	-16.559044	100000	-1.1920929e-08	432.6745	-0.009697615	-166.57994	0.9139811	0.0051557887	0.10144999	99.0	91.62362957000732
5	0.1727682	1.6541954	3.768308	-3.1223948	1000.0	10.7	36.35946	161.0	0.0	-4.054901	5.515787	-1.4782716	-24.62247	120000	8.940697e-09	243.3522	-0.010494669	-46.221127	0.9177133	0.008131741	0.13065	99.0	109.8423593044281
6	-0.2263538	1.128113	1.9996743	-1.9510795	1000.0	10.95	39.87916	181.0	0.0	-5.9175205	0.00088270666	-5.9113092	-5.9199386	140000	2.9802323e-09	368.3096	-0.008280444	-3.6040807	0.8992392	0.0045822985	0.070350006	99.0	128.16082668304443
7	-0.10983761	1.0318297	2.1644554	-1.8299518	1000.0	0.0	0.0	0.0	0.0	-7.4414196	0.09771502	-7.3164425	-7.716002	160000	3.6358833e-07	9.454126	-0.0126242135	-7.638543	0.90731394	0.00848683	0.1122	99.0	146.16542410850525
8	-0.12861902	0.8681339	1.517045	-2.09905	1000.0	6.4	20.531439	87.0	0.0	-4.672935	0.00045049572	-4.6707444	-4.674235	180000	5.9604646e-09	51.00811	-0.011547466	-0.47169894	0.89977324	0.006045027	0.12025	99.0	164.90916228294373
9	0.23676935	1.231008	3.0462043	-1.4131212	1000.0	3.45	15.038201	69.0	0.0	-3.9837723	0.0022873676	-3.9740877	-3.9920952	200000	1.1920929e-08	32.98858	-0.00831301	-0.60328007	0.9184412	0.0076160715	0.11685	99.0	182.67613554000854
10	-0.6246191	1.1025492	1.9833095	-2.9308393	1000.0	4.8	20.922714	96.0	0.0	-3.2061653	0.0013276523	-3.197911	-3.2091713	220000	2.9802323e-09	100.76985	-0.007631612	-0.5948551	0.92493117	0.003534481	0.0835	99.0	200.92330646514893
11	-0.45913076	1.3944325	2.4752016	-3.7713587	1000.0	2.4	10.461357	48.0	0.0	-3.9768984	0.00035447173	-3.9749002	-3.9782066	240000	-1.4901161e-09	25.827892	-0.006709953	-0.3571842	0.94777644	0.0046521993	0.08105	99.0	218.5053632259369
12	0.19939916	1.1141934	2.6068718	-1.919408	1000.0	2.55	11.115192	51.0	0.0	-3.3815906	0.0005634276	-3.3769622	-3.3835292	260000	-2.9802323e-09	12.848997	-0.008441153	-0.8497858	0.9538951	0.010068489	0.1385	99.0	236.55653500556946
13	-0.2670694	0.94479567	2.2622805	-1.8525139	1000.0	1.95	8.499852	39.0	0.0	-2.465189	0.0012767295	-2.455086	-2.468668	280000	2.9802323e-09	22.531416	-0.006549479	-0.019799208	0.9764856	0.005718243	0.1037	99.0	254.769677400589
14	-0.43840998	1.3600475	2.159057	-3.0626042	1000.0	25.0	96.552055	444.0	0.0	-2.5993493	0.0014596406	-2.5890126	-2.6052628	300000	-1.1920929e-08	1544.9344	-0.010935935	-57.89619	0.99890864	0.0069747074	0.0836	99.0	273.1393208503723
15	-1.2495706	1.0245559	0.3047657	-3.7524447	1000.0	2.65	10.061188	46.0	0.0	-10.168448	0.00020667611	-10.167239	-10.16908	320000	-7.450581e-09	25.757792	-0.010060881	-9.8338375	1.0391864	0.0076541365	0.1032	99.0	291.8542830944061
16	-0.24339366	1.136374	2.2869985	-2.3244302	1000.0	0.0	0.0	0.0	0.0	-7.0516047	0.00014886043	-7.050576	-7.0520806	340000	-5.2335673e-07	8.302969	-0.012232507	-6.6744223	1.059731	0.009266401	0.123	99.0	311.11415815353394
17	0.1299456	1.1049918	3.8029532	-0.8978765	1000.0	4.4	14.136477	60.0	0.0	-4.48455	0.0003082839	-4.482156	-4.4850273	360000	-2.9802323e-09	48.374195	-0.009283185	-0.024196815	1.0620044	0.0050653624	0.088	99.0	330.20125460624695
18	-0.26336628	0.6787462	1.0501912	-1.4707259	1000.0	5.4	13.613963	52.0	0.0	-4.6391683	0.00018584961	-4.6378856	-4.6396847	380000	5.9604646e-09	49.854164	-0.010807124	-0.15704799	1.0681604	0.0056947013	0.099199995	99.0	348.9735367298126
19	0.058232732	1.5621332	4.393068	-1.9372249	1000.0	3.15	13.730532	63.0	0.0	-5.0333705	0.00018552496	-5.0323467	-5.03403	400000	1.1920929e-08	22.76833	-0.011343503	-1.4992363	1.0814614	0.010650088	0.16964999	99.0	367.89080595970154
20	0.13586102	1.0412996	2.1129882	-1.490624	1000.0	7.5	22.7673	86.0	0.0	-3.8132722	0.00021119193	-3.8112175	-3.8138158	420000	0.0	91.547134	-0.012352872	-0.12288437	1.0989127	0.010624602	0.1227	99.0	386.99665784835815
21	0.07544467	1.014114	2.4040322	-1.3665746	1000.0	10.9	37.187233	165.0	0.0	-4.163222	0.0001637385	-4.162435	-4.1636643	440000	1.7881394e-08	380.7251	-0.012357545	-13.376925	1.1283994	0.008602725	0.14485	99.0	406.16284680366516
22	0.015662037	1.1081707	2.8131452	-2.1171498	1000.0	6.8	24.691296	113.0	0.0	-7.8175273	0.00017187322	-7.8164454	-7.81824	460000	-4.4703485e-09	58.279896	-0.010911885	-1.7989395	1.1447592	0.008635658	0.1233	99.0	425.14986181259155
23	-0.24034981	1.4302269	2.6898599	-3.4098954	1000.0	1.1	4.794789	22.0	0.0	-6.4750557	0.00021538869	-6.4738812	-6.4756665	480000	-1.1920929e-08	10.734698	-0.0066966563	-3.7720451	1.1589653	0.006301789	0.0997	99.0	443.86688470840454
24	0.019078244	1.1873463	2.3561223	-2.4584014	1000.0	7.05	21.57655	84.0	0.0	-4.5279045	0.0002569194	-4.5266857	-4.5286965	500000	-2.3841858e-08	81.86763	-0.0099121155	-0.0039845943	1.1609201	0.0072625377	0.10515	99.0	462.75823640823364
