Epoch	LossDC	DeltaLossDC	Time
0	1.0909795	-0.06769097	0.09066915512084961
1	1.0480485	-0.06852317	0.17284488677978516
2	0.9428814	-0.07909411	0.22530698776245117
3	1.1627947	-0.42339826	0.2763524055480957
4	1.4979343	-0.34439695	0.3373236656188965
5	1.1410252	-0.10363257	0.3955042362213135
6	1.0478978	-0.20063007	0.4495842456817627
7	1.0506101	-0.16077447	0.5103468894958496
8	0.973215	-0.13800472	0.5718162059783936
9	0.9228621	-0.15972346	0.643474817276001
10	0.6805258	-0.2819218	0.7435555458068848
11	1.0724819	-0.411963	0.8096373081207275
12	0.6631226	-0.20388412	0.869218111038208
13	0.7331426	-0.11321348	0.9333009719848633
14	0.93326056	-0.2525425	0.9916315078735352
15	0.6771172	-0.43894598	1.0499012470245361
16	0.7572595	-0.117990494	1.1062428951263428
17	0.41902706	-0.15165213	1.1587214469909668
18	0.537374	-0.20702958	1.2159907817840576
19	0.36589915	-0.10512045	1.2713947296142578
20	0.57454395	-0.2833244	1.3252689838409424
21	0.22155587	-0.08733669	1.3848068714141846
22	0.43208933	-0.20104387	1.4428200721740723
23	0.18841481	-0.11570309	1.4988863468170166
24	0.22594616	-0.16788846	1.552372932434082
25	0.52833635	-0.4190485	1.6076889038085938
26	0.48465192	-0.38844588	1.6882531642913818
27	0.5411457	-0.43865246	1.7485828399658203
28	0.5841868	-0.4599231	1.8039114475250244
29	0.4034814	-0.32181507	1.8660781383514404
30	0.56483096	-0.47536615	1.9301872253417969
31	1.561805	-1.2997589	1.9864943027496338
32	0.6654383	-0.4571535	2.041857957839966
33	0.30814064	-0.22918123	2.1004669666290283
34	1.3133831	-1.0442915	2.1538796424865723
35	0.2791888	-0.024949312	2.2064030170440674
36	0.265756	-0.10565187	2.2633378505706787
37	0.76159203	-0.31825483	2.321774482727051
38	0.5501579	-0.18253672	2.3804709911346436
39	0.7225852	-0.41349906	2.434267997741699
40	0.48335344	-0.2080755	2.4933838844299316
41	0.30037385	-0.13997035	2.5494933128356934
42	0.59829617	-0.32948753	2.622857093811035
43	0.24234524	-0.13689741	2.6971113681793213
44	0.119795054	-0.037774444	2.7887532711029053
45	0.77657324	-0.5646219	2.8837594985961914
46	0.42047358	-0.30192822	2.945956230163574
47	0.68803304	-0.29459274	2.9989688396453857
48	0.17950553	-0.0975979	3.052391767501831
49	0.20579445	-0.13926852	3.112107753753662
50	0.104539976	-0.06241779	3.1713640689849854
51	0.3763334	-0.30309087	3.226597785949707
52	0.26154584	-0.17566499	3.2861526012420654
53	0.41359213	-0.39703283	3.346423625946045
54	0.109359115	-0.056038886	3.3998162746429443
55	0.54023576	-0.41563433	3.453624963760376
56	0.9832945	-0.8409573	3.5095415115356445
57	1.1205204	-0.80288565	3.5655670166015625
58	0.13593072	-0.03185454	3.623765468597412
59	1.5824281	-1.1515806	3.6859989166259766
60	1.6293423	-1.387602	3.7548184394836426
61	0.7230097	-0.5087068	3.8267452716827393
62	0.3017348	-0.1347939	3.884303569793701
63	0.37514868	-0.1531854	3.947627544403076
64	0.46851492	-0.20259702	4.009588003158569
65	0.3561374	-0.16681303	4.068416118621826
66	0.5530812	-0.35207152	4.131219387054443
67	0.34884226	-0.027008295	4.190105676651001
68	0.40426096	-0.086719155	4.243901014328003
69	0.26955628	-0.04874432	4.311511516571045
70	0.7346672	-0.40404457	4.376654148101807
71	0.3596647	-0.2524892	4.436964511871338
72	0.5969142	-0.3194046	4.489090919494629
73	0.23850264	-0.07070796	4.5455451011657715
74	0.081874356	-0.02435188	4.6051342487335205
75	0.86954135	-0.35115713	4.6842052936553955
76	0.6247282	-0.37049514	4.748362064361572
77	0.47984368	-0.04290113	4.807097434997559
78	0.17098877	-0.02076368	4.861689567565918
79	0.36060864	-0.14474048	4.914626836776733
80	0.15955853	-0.09682548	4.974011659622192
81	0.09368707	-0.030761167	5.032537460327148
82	0.4352073	-0.34178632	5.089297533035278
83	0.33821476	-0.22632617	5.144683361053467
84	0.6751732	-0.4766469	5.201398134231567
85	0.06505197	-0.0501875	5.255290508270264
86	0.27308276	-0.13086925	5.308485984802246
87	0.07646048	-0.041874424	5.364051103591919
88	0.21655175	-0.15074414	5.423942804336548
89	0.23421583	-0.10880658	5.477914333343506
90	0.18860774	-0.10820757	5.53369665145874
91	0.8685395	-0.34127223	5.595447540283203
92	0.5783336	-0.21285537	5.681902170181274
93	0.4460107	-0.13651896	5.74050760269165
94	0.25378507	-0.13610783	5.794602632522583
95	0.39686573	-0.2543572	5.857315301895142
96	0.3632138	-0.2597314	5.9131245613098145
97	0.4675457	-0.3487956	5.966285228729248
98	0.31931138	-0.2350852	6.022365570068359
99	0.38252658	-0.27302587	6.082256555557251
