Epoch	LossDC	DeltaLossDC	Time
0	0.7009473	-0.029278398	1.2969965934753418
1	0.6716688	-0.0038565993	2.4762511253356934
2	0.6315675	-0.024412751	3.6576719284057617
3	0.87836	-0.15677673	4.868850469589233
4	0.78095883	-0.107449114	6.152267694473267
5	0.6957253	0.005229056	7.335890769958496
6	0.6792661	-0.0023887753	8.537578344345093
7	0.6467706	-0.043222427	9.719140529632568
8	0.7365744	-0.019452691	10.912575721740723
9	0.7559612	-0.050266862	12.609022378921509
10	0.6962542	-0.0025889874	13.932130813598633
11	0.6925145	-0.010121107	15.122382164001465
12	0.70812637	-0.008343935	16.32792854309082
13	0.687498	0.0016822815	17.520262241363525
14	0.68934983	-0.008271456	18.7182137966156
15	0.681555	-0.007958829	19.929571390151978
16	0.6722878	-0.0031766295	21.12058973312378
17	0.7733767	-0.064089835	22.41873550415039
18	0.6974851	-0.0040629506	23.869423151016235
19	0.6928742	5.7578087e-05	25.202133655548096
20	0.69634545	-0.0027430654	26.48514723777771
21	0.6934284	2.3841858e-06	27.765955448150635
22	0.6922723	-0.0012069345	29.164657831192017
23	0.6959546	-0.0037937164	30.453259229660034
24	0.6902453	-0.019866407	31.92229175567627
25	0.71098244	-0.000615716	33.22762060165405
26	0.66848177	-0.0068950653	34.503228187561035
27	0.67940116	-0.0061351657	35.7833468914032
28	0.67326593	-0.0037953258	37.05300283432007
29	0.7217285	-0.017822385	38.361159563064575
30	0.61817116	-0.02815646	39.64654278755188
31	0.75781506	-0.023223758	40.89099860191345
32	0.6455396	0.0053827763	42.23713970184326
33	0.6759884	-0.001478374	43.54074192047119
34	0.70416653	-0.0010749698	44.84081411361694
35	0.7025069	-0.0033197403	46.27682185173035
36	0.65468085	-0.003499329	47.521647691726685
37	0.72518367	-0.0041955113	48.799689531326294
38	0.6782663	0.0009250641	50.083070039749146
39	0.69818777	-0.00080162287	51.37248206138611
40	0.6791769	-0.00023961067	52.79561710357666
41	0.7159311	-0.004459679	54.085541009902954
42	0.7268392	-0.018652797	55.3710880279541
43	0.68634737	0.0027670264	56.69910788536072
44	0.6973123	-0.0024066567	58.002798318862915
45	0.6880319	-0.010553062	59.30562162399292
46	0.7038475	0.0009807348	60.60372352600098
47	0.69389814	-0.0003759265	61.941699504852295
48	0.68981594	-0.00065129995	63.26017093658447
49	0.6934439	-5.567074e-05	64.55268287658691
