Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	LossDC	DeltaLossDC	KL	Time
0	0.14521888	0.89786404	1.5371784	-0.79046875	33.0	42.84857	105.0	0.0	1000.0	-0.13143404	0.27268228	0.41825923	-0.52548975	5000	14861725.0	-14861725.0	13.156135	-8.98486	0.0	0.0	0.009868968	10.641199827194214
1	-0.34092772	0.2905173	0.12910905	-0.6591319	57.6	91.44528	236.0	0.0	1000.0	-1.8151568	2.6437883	5.6257477	-8.739641	10000	2322704.5	-2322704.5	25.154367	-22.663757	0.0	0.0	0.004387061	20.854479789733887
2	-0.14655122	0.9713092	1.7284654	-0.97038925	160.4	143.99806	398.0	0.0	1000.0	-1.9361731	3.2805831	2.9092717	-11.797885	15000	35161547000.0	-35161547000.0	78.0033	-70.34714	0.0	0.0	0.0033595883	31.76294445991516
3	-0.21809895	0.46913943	0.7011688	-0.52769876	48.8	70.45963	181.0	0.0	1000.0	-3.8797235	4.622481	2.0532637	-19.32669	20000	92020064000.0	-92020064000.0	55.559376	-45.080074	0.0	0.0	0.007117404	42.46638894081116
4	-0.072669886	1.2643604	1.7215651	-1.9568322	84.6	84.0181	223.0	0.0	1000.0	-4.242426	4.5710244	0.63342583	-19.25927	25000	1.2851304e+17	-1.2851304e+17	90.38931	-74.794044	0.0	0.0	0.002886235	53.49161720275879
5	0.8474468	3.0770504	6.6633677	-2.2895427	9.2	18.4	46.0	0.0	1000.0	-0.5243709	3.762073	0.78383434	-26.205748	30000	92156.695	-92156.71	14.756126	-11.632896	0.0	0.0	0.0020947184	64.18936824798584
6	-0.48231497	0.7363704	0.22114994	-1.8583144	36.4	44.866913	99.0	0.0	1000.0	-0.7430958	0.7014486	0.3527606	-9.614304	35000	5550376000.0	-5550376000.0	21.512392	-11.453101	0.0	0.0	0.00121465	74.91539192199707
7	0.076630294	1.5370891	3.0833871	-1.1120121	20.4	25.18412	56.0	0.0	1000.0	-2.233301	2.0193362	1.2012824	-10.563311	40000	2150242.0	-2150242.0	10.799362	-8.07629	0.0	0.0	0.0011981496	85.4470374584198
8	-0.9513327	0.47443616	-0.124698214	-1.5507122	72.6	65.62195	172.0	0.0	1000.0	-0.48277682	1.6902893	1.4457484	-10.8374195	45000	3923540200.0	-3923540200.0	39.82053	-33.74547	0.0	0.0	0.0024186217	95.9878761768341
9	0.1473455	1.1461793	2.0866451	-0.9599992	24.8	30.537846	67.0	0.0	1000.0	-1.1725763	1.7563696	3.0303872	-12.518095	50000	2233858.5	-2233858.5	7.9297905	-4.2600827	2.2706485	-0.27512836	0.0006946051	107.15254092216492
