Epoch	LossDC	DeltaLossDC	Time
0	1.0986696	-0.02998054	34.677961587905884
1	1.2748564	-0.1900965	67.81840395927429
2	1.082379	-0.0027555227	102.25138783454895
3	1.1082976	-0.039751053	136.17431902885437
4	1.0786641	-0.038942337	169.35533237457275
5	1.0054905	-0.111314416	203.67208647727966
6	1.0044073	-0.10977793	236.45225524902344
7	0.97535	-0.17215836	269.9152419567108
8	0.729725	-0.1820786	305.1642355918884
9	0.5868851	-0.1289323	339.41511130332947
10	0.44085503	-0.11883056	372.5409755706787
11	0.36776745	-0.13047044	406.0291802883148
12	0.22092839	-0.11213902	438.67185831069946
